date,symbol,open,high,low,close,volume,open_interest
2017-09-21,IC01.CFE,6648.0,6648.0,6547.8,6560.0,400,585
2017-09-21,IC02.CFE,6624.2,6625.0,6515.0,6535.0,1040,7389
2017-09-21,IC03.CFE,6549.0,6565.8,6457.8,6470.2,283,1608
2017-09-22,IC00.CFE,6583.4,6585.4,6492.6,6532.2,11104,20655
2017-09-22,IC01.CFE,6551.0,6551.0,6458.4,6491.4,488,738
2017-09-22,IC02.CFE,6526.4,6526.4,6430.8,6470.0,944,7217
2017-09-22,IC03.CFE,6463.6,6463.6,6370.2,6412.0,256,1608
2017-09-25,IC00.CFE,6536.2,6555.2,6433.6,6440.8,10909,20679
2017-09-25,IC01.CFE,6492.6,6521.2,6400.0,6400.0,450,822
2017-09-25,IC02.CFE,6455.0,6496.6,6355.0,6369.6,907,7231
2017-09-25,IC03.CFE,6407.2,6429.2,6311.0,6311.8,224,1629
2017-09-26,IC00.CFE,6450.2,6499.8,6450.0,6485.0,9697,20018
2017-09-26,IC01.CFE,6416.0,6461.4,6416.0,6451.0,491,853
2017-09-26,IC02.CFE,6387.6,6428.0,6385.0,6415.2,567,7138
2017-09-26,IC03.CFE,6337.0,6366.4,6312.2,6353.0,143,1596
2017-09-27,IC00.CFE,6495.8,6583.8,6495.0,6560.0,9570,20085
2017-09-27,IC01.CFE,6458.8,6547.2,6458.8,6528.6,410,891
2017-09-27,IC02.CFE,6431.0,6519.0,6428.8,6499.8,568,7177
2017-09-27,IC03.CFE,6358.0,6455.6,6352.8,6438.0,169,1607
2017-09-28,IC00.CFE,6559.6,6598.0,6515.6,6552.0,8530,19448
2017-09-28,IC01.CFE,6522.2,6558.0,6489.6,6522.8,372,955
2017-09-28,IC02.CFE,6493.8,6537.4,6455.6,6492.0,507,7175
2017-09-28,IC03.CFE,6421.0,6482.0,6398.8,6438.0,134,1612
2017-09-29,IC00.CFE,6564.8,6620.0,6546.6,6598.2,9176,19512
2017-09-29,IC01.CFE,6532.4,6594.8,6519.8,6570.0,493,1052
2017-09-29,IC02.CFE,6499.6,6570.0,6488.8,6539.0,676,7202
2017-09-29,IC03.CFE,6448.4,6516.2,6443.0,6485.0,247,1709
2017-10-09,IC00.CFE,6699.0,6715.0,6644.4,6684.2,9761,19455
2017-10-09,IC01.CFE,6658.8,6729.0,6626.8,6655.4,726,1223
2017-10-09,IC02.CFE,6632.2,6659.6,6595.6,6634.0,837,7127
2017-10-09,IC03.CFE,6594.2,6609.8,6551.2,6565.6,289,1751
2017-10-10,IC00.CFE,6690.2,6718.4,6656.0,6717.0,9048,18930
2017-10-10,IC01.CFE,6658.8,6691.2,6632.0,6690.0,751,1447
2017-10-10,IC02.CFE,6634.0,6674.0,6610.6,6661.6,549,7118
2017-10-10,IC03.CFE,6576.0,6608.4,6553.2,6608.4,212,1791
2017-10-11,IC00.CFE,6726.0,6729.0,6646.2,6660.8,9397,18424
2017-10-11,IC01.CFE,6690.0,6699.2,6621.6,6630.0,887,1871
2017-10-11,IC02.CFE,6669.0,6675.0,6598.6,6606.0,696,7238
2017-10-11,IC03.CFE,6617.0,6618.0,6549.6,6562.6,252,1884
2017-10-12,IC00.CFE,6656.8,6674.6,6603.4,6650.2,9198,18128
2017-10-12,IC01.CFE,6630.0,6643.8,6577.2,6619.0,886,2246
2017-10-12,IC02.CFE,6610.0,6624.8,6555.0,6598.2,646,7222
2017-10-12,IC03.CFE,6560.2,6573.0,6511.8,6548.6,221,1965
2017-10-13,IC00.CFE,6661.0,6722.6,6655.4,6722.0,9541,17400
2017-10-13,IC01.CFE,6621.0,6685.4,6621.0,6684.6,1199,2802
2017-10-13,IC02.CFE,6605.2,6662.2,6595.8,6662.0,666,7388
2017-10-13,IC03.CFE,6557.2,6606.4,6548.6,6606.4,186,1967
2017-10-16,IC00.CFE,6728.0,6728.0,6600.0,6606.6,11680,15880
2017-10-16,IC01.CFE,6681.0,6688.0,6569.0,6577.2,2584,4372
2017-10-16,IC02.CFE,6656.4,6661.4,6540.8,6547.2,918,7533
2017-10-16,IC03.CFE,6606.0,6606.0,6495.0,6500.8,318,2069
2017-10-17,IC00.CFE,6600.0,6652.6,6584.4,6591.8,10644,13681
2017-10-17,IC01.CFE,6567.8,6618.0,6552.6,6560.6,3270,6064
2017-10-17,IC02.CFE,6544.0,6597.2,6522.8,6531.0,1041,7769
2017-10-17,IC03.CFE,6489.0,6524.8,6463.4,6470.0,277,2124
2017-10-18,IC00.CFE,6598.2,6627.8,6531.2,6542.8,10362,10700
2017-10-18,IC01.CFE,6570.2,6591.8,6497.2,6505.0,4338,8705
2017-10-18,IC02.CFE,6531.0,6563.8,6465.0,6468.0,918,7848
2017-10-18,IC03.CFE,6470.0,6503.4,6402.4,6409.0,237,2178
2017-10-19,IC00.CFE,6543.0,6566.0,6487.0,6497.0,8358,5446
2017-10-19,IC01.CFE,6505.2,6525.0,6445.4,6460.0,8283,14432
2017-10-19,IC02.CFE,6467.8,6493.6,6417.2,6426.2,942,7958
2017-10-19,IC03.CFE,6419.8,6425.6,6355.0,6366.8,241,2206
2017-10-20,IC00.CFE,6515.8,6559.0,6499.0,6548.0,4910,0
2017-10-20,IC01.CFE,6460.0,6544.0,6460.0,6530.0,10819,17783
2017-10-20,IC02.CFE,6426.2,6515.2,6426.2,6504.8,962,8091
2017-10-20,IC03.CFE,6366.8,6447.6,6359.0,6439.8,180,2221
2017-10-23,IC00.CFE,6536.8,6584.6,6520.2,6576.2,8413,17738
2017-10-23,IC01.CFE,6505.0,6549.0,6490.2,6537.6,719,8028
