family,form,k,kou_jing,ic,n_windows,ic_2020-2022,ic_2023-2026
R1,R1_lb5zw250,40,1000,0.13864469588584036,34,0.3008688500083826,-0.1252747252747253
R1,R1_lb5zw250,40,blend,0.17924231401815824,34,0.37855220062530104,-0.16923076923076924
R1,R1_lb20zw60,5,500,0.03434806713528033,281,0.13459930873723977,0.02898924731182795
R1,R1_lb20zw60,5,1000,-0.0042159633319084535,281,0.0877742946708464,-0.006414746543778801
R1,R1_lb20zw60,5,blend,0.016244033702442397,281,0.10543766578249338,0.016430107526881718
R1,R1_lb20zw60,10,500,0.07305926089654081,140,0.20734406438631786,-0.07552063659943088
R1,R1_lb20zw60,10,1000,0.010115897662597958,140,0.14074446680080482,-0.10730024426481329
R1,R1_lb20zw60,10,blend,0.036356877332112764,140,0.1759557344064386,-0.08362922112261087
R1,R1_lb20zw60,20,500,-0.008768804976662629,69,0.37282913165266107,0.03982202447163515
R1,R1_lb20zw60,20,1000,-0.04159701860804334,69,0.35406162464986,0.04338153503893215
R1,R1_lb20zw60,20,blend,-0.01887119904352603,69,0.37450980392156863,0.026028921023359287
R1,R1_lb20zw60,40,500,0.14071810542398777,34,0.20833333333333337,0.2527472527472528
R1,R1_lb20zw60,40,1000,0.004736440030557678,34,0.14215686274509806,0.1032967032967033
R1,R1_lb20zw60,40,blend,0.07593582887700534,34,0.15686274509803924,0.16923076923076924
R1,R1_lb20zw250,5,500,0.07188596372173547,281,0.15417052599041545,0.05587096774193548
R1,R1_lb20zw250,5,1000,0.04310403052397417,281,0.13235087837341394,0.024479262672811055
R1,R1_lb20zw250,5,blend,0.05937886998307456,281,0.13619519582333028,0.04598463901689707
R1,R1_lb20zw250,10,500,0.11160812387650598,140,0.21158933318228682,-0.004608294930875576
R1,R1_lb20zw250,10,1000,0.0613229763547662,140,0.16093520573138248,-0.0020397371005514845
R1,R1_lb20zw250,10,blend,0.0848783826727143,140,0.18670244569805242,0.015184709526327717
R1,R1_lb20zw250,20,500,0.12986106048697693,69,0.29775080518593955,0.07007786429365963
R1,R1_lb20zw250,20,1000,0.08022446331917615,69,0.2946433489648339,0.10433815350389322
R1,R1_lb20zw250,20,blend,0.11603241441255273,69,0.3036832216080503,0.06384872080088987
R1,R1_lb20zw250,40,500,0.2619695358726928,34,0.31936488586955364,-0.178021978021978
R1,R1_lb20zw250,40,1000,0.13343594488018445,34,0.2120878778747615,-0.015384615384615385
R1,R1_lb20zw250,40,blend,0.18445106502381411,34,0.2823728141472115,-0.0945054945054945
R2,R2_lb5zw60,5,500,0.03675108510624495,281,0.05842376014789808,0.1159569892473118
R2,R2_lb5zw60,5,1000,-0.019217653509861602,281,-0.013744875813841333,0.06954224270353301
R2,R2_lb5zw60,5,blend,0.007809943619340356,281,0.01775580741097983,0.09492473118279568
