date,n_full,sum_sd,sum_var,ew_ret_full
2019-04-19,3558,107.76422702142374,3.5114740656941983,0.007554301840930364
2019-04-22,3557,108.39095563770455,3.5522265482695214,-0.01255356290410888
2019-04-23,3557,109.35435627919654,3.6132894312397603,-0.018415714968221985
2019-04-24,3560,109.52995774455792,3.624310637476037,0.009822403563131953
2019-04-25,3551,111.4440204876384,3.7526876170641517,-0.04052688361618941
2019-04-26,3549,112.16570159617224,3.8027350232947765,-0.012629771558822547
2019-04-29,3541,113.80487215351422,3.926504096455243,-0.036413586469928635
2019-04-30,3526,113.4371475155509,3.915012764454133,0.01065278613980348
2019-05-06,3550,119.83635337410142,4.310545138685341,-0.07430142766452201
2019-05-07,3552,119.98804412093482,4.314813754151357,0.015038118884662506
2019-05-08,3552,119.50526672641644,4.2807385432600915,-0.0012275079869781531
2019-05-09,3557,119.33679767838375,4.263380020212576,-0.008151790554119166
2019-05-10,3557,119.76857459648365,4.293295342190081,0.03485592454668365
2019-05-13,3554,119.85191258126449,4.302441739554531,-0.005728334061735286
2019-05-14,3555,119.86866953010815,4.30259418163056,-0.0072608130134502544
2019-05-15,3556,120.33896642448963,4.335172898584143,0.021841419810138745
2019-05-16,3558,120.56902023284813,4.34945632432149,0.00779666744748091
2019-05-17,3560,121.34104269410531,4.404079615512529,-0.03582214944701696
2019-05-20,3557,121.60321545051411,4.426635196407593,-0.0037668862394206553
2019-05-21,3560,121.90180243458857,4.443057700392431,0.01741624228804506
2019-05-22,3562,122.11745426406031,4.458932523516357,-0.005540066231796575
2019-05-23,3561,122.21383053728474,4.464024617722408,-0.022537789085043267
2019-05-24,3564,120.39837615724156,4.347803924352713,-0.0067782952192802755
2019-05-27,3567,120.73093325454127,4.364459260192629,0.02733225551491706
2019-05-28,3566,120.39763583573587,4.3408665788173195,0.001667969387763722
2019-05-29,3570,120.30717454704649,4.330737536718902,0.004193456741759178
2019-05-30,3568,120.27049378048402,4.3304186337959205,-0.006254427955445411
2019-05-31,3568,119.96795847772849,4.309451346305802,0.00061442094517387
