underlying,theta,exposure,sharpe_full,ann_full,turnover_full,sharpe_2014-2020,sharpe_2021-2023,sharpe_2024-2026,worst_tv
500｜中证500（现役分量）,0.05,0.45324209840338875,1.2360913966313085,0.1879244029295538,10.777126099706745,1.2177964727050206,0.5335292844979597,1.8112546336866482,0.5335292844979597
500｜中证500（现役分量）,0.1,0.42196155099380905,1.0417935874722644,0.15490624448936277,10.777126099706745,1.0627175692913406,0.2785633784175096,1.5579296176149189,0.2785633784175096
500｜中证500（现役分量）,0.15,0.3890518084066471,1.096897486159082,0.15814829541126707,10.298142717497555,1.0523375243268935,0.3923434163974567,1.7315111974279167,0.3923434163974567
500｜中证500（现役分量）,0.2,0.35614206581948515,1.139178350338824,0.156918679294521,9.97882046269143,1.2008036399184892,0.5448243363472337,1.43578366473724,0.5448243363472337
500｜中证500（现役分量）,0.25,0.3255131964809384,1.137110558977356,0.15061382162370288,9.659498207885305,1.2224907556918518,0.4727004884628754,1.4343220141262942,0.4727004884628754
500｜中证500（现役分量）,0.3,0.29488432714239166,1.119631266155481,0.14328055055300723,9.180514825676116,1.160646136449723,0.4414221328345431,1.522590181522052,0.4414221328345431
500｜中证500（现役分量）,0.35,0.260019550342131,1.221846269948405,0.14724565351232485,9.100684261974585,1.193552839306338,0.8344846802281737,1.5733200549524433,0.8344846802281737
500｜中证500（现役分量）,0.4,0.2287390029325513,1.1433502018162085,0.12720888550556106,8.462039752362333,1.3095907379163667,0.50569397874924,1.218669224300387,0.50569397874924
500｜中证500（现役分量）,0.45,0.19876181166503748,1.1635139705037207,0.12301160054151337,8.30237862495927,1.3321240384001736,0.7608585221606589,1.046286074638009,0.7608585221606589
500｜中证500（现役分量）,0.5,0.162593678722711,0.9004944146161907,0.08284225357117078,7.983056370153145,1.0071091510001737,0.684390880107767,0.834569531449282,0.684390880107767
500｜中证500（现役分量）,0.55,0.12512218963831867,0.6453647618944314,0.05343908365916895,7.823395242750082,0.7522064625525772,0.7121433215987987,0.3308777768243552,0.7121433215987987
500｜中证500（现役分量）,0.6,0.093841642228739,0.6772998310663634,0.04990241725817315,6.386445096122515,0.7414448653773754,0.32407792809318164,0.8573062641827938,0.32407792809318164
500｜中证500（现役分量）,0.65,0.06093189964157706,0.28965929419070324,0.018129311458295737,5.428478331704138,0.39565261390513534,0.006539024904922656,0.2889116979703701,0.006539024904922656
500｜中证500（现役分量）,0.7,0.027696318018898665,0.08567864904324239,0.003999093555490405,2.873900293255132,0.10251924564411133,-0.5104044068909028,0.4144362821003489,-0.5104044068909028
1000｜中证1000（现役分量）,-1.0,1.0,0.30257115184997746,0.08124803314680994,0.0,0.335460520719189,-0.1432570381650887,0.5622141686923525,-0.1432570381650887
