date,factor_value_opt,position_opt,factor_value_incumbent,position_incumbent,index_close,index_ret
2024-07-23,0.25151447344112,1,0.15434500584819005,1,207732.9688,-0.011060575482586321
2024-07-24,0.08369807185469214,1,0.17441688390399043,1,204272.5313,-0.016658104488612158
2024-07-25,0.009306552344379049,1,0.19397350526654636,1,206436.8281,0.010595143586983102
2024-07-26,0.01325336058577994,1,0.1885922247537743,1,210310.8281,0.018766031408520734
2024-07-29,-0.05184553624095557,1,0.15521331817600093,1,212284.4375,0.009384250054217613
2024-07-30,-0.0980113461626111,1,0.17115408634488882,1,214909.8594,0.012367472297633686
2024-07-31,0.1245130237891609,1,0.33025022514295316,1,221446.5,0.03041573159207056
2024-08-01,0.009313041727956307,1,0.45738067648127884,1,222935.3281,0.006723195444497954
2024-08-02,-0.0015028968367546414,1,0.49311199259435623,1,219973.1719,-0.013287065021257316
2024-08-05,0.0707170892813706,1,0.46382550814896073,1,215103.7969,-0.022136222149006568
2024-08-06,-0.011073243991983592,1,0.4447931352384261,1,221364.875,0.029107241202770195
2024-08-07,0.045921221846282015,1,0.33911286881063224,1,221525.6094,0.0007261061629582066
2024-08-08,-0.2012287087782532,0,0.1656250257262279,1,221980.3594,0.0020528100621488576
2024-08-09,-0.1986503128671974,0,0.0446181643326933,1,220801.0469,-0.0053126884882410685
2024-08-12,-0.39764162274670906,0,-0.012211222530912159,0,219745.125,-0.004782232307432022
2024-08-13,-0.3619438867919136,0,-0.12673400708451027,0,222925.0781,0.014471097367916741
2024-08-14,-0.3061559681974674,0,-0.21599397753921884,0,223298.7031,0.0016760115245193496
2024-08-15,-0.2624681899717214,0,-0.23254917450497267,0,224959.1563,0.007436018109144182
2024-08-16,-0.19823754375891603,0,-0.2596490141950356,0,223185.8906,-0.007882611800140271
2024-08-19,-0.23529391693930807,0,-0.37160605395781776,0,222478.3906,-0.0031700032564693226
2024-08-20,-0.04826368361931842,1,-0.40192485619272295,0,218049.5625,-0.019906778757505128
2024-08-21,-0.17353499766771047,0,-0.36375512677360755,0,218103.9688,0.0002495134563731405
2024-08-22,-0.14849078607632998,0,-0.34668575691097325,0,214698.5781,-0.015613611795953664
2024-08-23,-0.12229705476632402,0,-0.3213513465190775,0,211889.2188,-0.013085132304376468
2024-08-26,0.10915380630513787,1,-0.21455672735355508,0,217416.0938,0.0260837952553723
2024-08-27,0.13869527094620948,1,-0.20114011002500135,0,214938.1563,-0.01139721285894979
2024-08-28,0.24240767546573794,1,-0.2821420829436534,0,217671.875,0.012718629149234939
2024-08-29,0.5915896708339268,1,-0.25103424328450735,0,220477.7031,0.012890172880626105
2024-08-30,0.6184094818282599,1,-0.11616783491594103,0,225030.9375,0.020651677407646174
2024-09-02,0.47687037822513606,1,-0.03931064459314064,0,222503.375,-0.011232066701939547
2024-09-03,0.5827822586013226,1,0.06956396645547588,1,223938.0,0.006447655007480124
