pair_set,mapping,kou_jing,carry_source,n_pairs,is_incumbent,is_gated,net_sharpe_selection_2014_2023,net_ann_selection_2014_2023,maxdd_selection_2014_2023,calmar_selection_2014_2023,turnover_selection_2014_2023,hit_selection_2014_2023,long_frac_selection_2014_2023,short_frac_selection_2014_2023,sharpe_ex_top1_selection_2014_2023,sharpe_ex_top2_selection_2014_2023,ex_top1_year_selection_2014_2023,n_obs_selection_2014_2023,net_sharpe_train_2014_2020,net_ann_train_2014_2020,maxdd_train_2014_2020,calmar_train_2014_2020,turnover_train_2014_2020,hit_train_2014_2020,long_frac_train_2014_2020,short_frac_train_2014_2020,sharpe_ex_top1_train_2014_2020,sharpe_ex_top2_train_2014_2020,ex_top1_year_train_2014_2020,n_obs_train_2014_2020,net_sharpe_val_2021_2023,net_ann_val_2021_2023,maxdd_val_2021_2023,calmar_val_2021_2023,turnover_val_2021_2023,hit_val_2021_2023,long_frac_val_2021_2023,short_frac_val_2021_2023,sharpe_ex_top1_val_2021_2023,sharpe_ex_top2_val_2021_2023,ex_top1_year_val_2021_2023,n_obs_val_2021_2023,net_sharpe_holdout_2024_2026,net_ann_holdout_2024_2026,maxdd_holdout_2024_2026,calmar_holdout_2024_2026,turnover_holdout_2024_2026,hit_holdout_2024_2026,long_frac_holdout_2024_2026,short_frac_holdout_2024_2026,sharpe_ex_top1_holdout_2024_2026,sharpe_ex_top2_holdout_2024_2026,ex_top1_year_holdout_2024_2026,n_obs_holdout_2024_2026,net_sharpe_full_2014_2026,net_ann_full_2014_2026,maxdd_full_2014_2026,calmar_full_2014_2026,turnover_full_2014_2026,hit_full_2014_2026,long_frac_full_2014_2026,short_frac_full_2014_2026,sharpe_ex_top1_full_2014_2026,sharpe_ex_top2_full_2014_2026,ex_top1_year_full_2014_2026,n_obs_full_2014_2026,worst_tv_sharpe
B_500_1000_2000,symmetric,1000,1000,3,False,True,1.150996,0.302044,-0.319384,0.945707,21.842646,0.523392,0.489729,0.494248,1.030181,0.815179,2015,2434,1.051763,0.300005,-0.316336,0.948375,23.394845,0.517696,0.474517,0.502636,0.829911,0.517857,2015,1707,1.505759,0.299008,-0.150431,1.987672,18.198074,0.535813,0.525447,0.474553,0.729287,0.237605,2022,727,1.706319,0.479066,-0.334442,1.432432,21.743265,0.549206,0.496038,0.503962,1.138149,0.650413,2025,631,1.272793,0.338936,-0.334442,1.013436,21.822186,0.528926,0.491028,0.496248,1.203074,1.045657,2015,3065,1.051763
B_500_1000_2000,symmetric,blend,blend,3,False,True,1.04986,0.262833,-0.329332,0.798079,21.842646,0.521303,0.489729,0.494248,0.92062,0.712933,2015,2434,0.95682,0.2626,-0.329332,0.79737,23.394845,0.515897,0.474517,0.502636,0.726039,0.430715,2015,1707,1.412269,0.256187,-0.131245,1.951976,18.198074,0.533058,0.525447,0.474553,0.638262,0.262495,2022,727,1.743784,0.463007,-0.298647,1.550352,21.743265,0.546032,0.496038,0.503962,1.166285,0.674383,2025,631,1.200597,0.30442,-0.329332,0.924356,21.822186,0.526612,0.491028,0.496248,1.13127,0.963275,2015,3065,0.95682
C_1000_only,longflat,500,500,1,False,True,1.500971,0.244128,-0.147337,1.656934,9.663106,0.563291,0.499589,0.0,1.127282,0.936386,2015,2434,1.645131,0.293448,-0.147337,1.991678,9.903339,0.564912,0.481547,0.0,1.153298,0.877455,2015,1707,1.040638,0.121758,-0.13144,0.92634,9.099037,0.558824,0.541953,0.0,0.786823,0.466245,2021,727,1.669432,0.285485,-0.182466,1.564595,9.318542,0.541667,0.475436,0.0,1.044485,0.609532,2025,631,1.536962,0.252642,-0.20587,1.227189,9.59217,0.55901,0.494617,0.0,1.261314,1.104541,2015,3065,1.040638
C_1000_only,longflat,1000,1000,1,False,True,1.145979,0.19954,-0.22478,0.887713,9.663106,0.551424,0.499589,0.0,0.780038,0.619236,2015,2434,1.156597,0.217439,-0.179491,1.211421,9.903339,0.547368,0.481547,0.0,0.633241,0.359976,2015,1707,1.104315,0.14969,-0.131123,1.1416,9.099037,0.558824,0.541953,0.0,1.044788,0.993301,2022,727,1.684431,0.317164,-0.185553,1.709288,9.318542,0.570513,0.475436,0.0,1.084056,0.775618,2025,631,1.263256,0.223755,-0.22478,0.995443,9.59217,0.555203,0.494617,0.0,1.007789,0.833009,2015,3065,1.104315
C_1000_only,longflat,blend,blend,1,False,True,1.328466,0.221834,-0.172298,1.287498,9.663106,0.55538,0.499589,0.0,0.953193,0.776948,2015,2434,1.403907,0.255443,-0.163508,1.562269,9.903339,0.559064,0.481547,0.0,0.888895,0.613376,2015,1707,1.091165,0.135724,-0.131245,1.034129,9.099037,0.546569,0.541953,0.0,1.083811,0.756664,2022,727,1.688439,0.301324,-0.181615,1.659138,9.318542,0.576923,0.475436,0.0,1.071792,0.701452,2025,631,1.40618,0.238199,-0.186603,1.276501,9.59217,0.559645,0.494617,0.0,1.13696,0.969598,2015,3065,1.091165
C_1000_only,symmetric,500,500,1,False,True,1.07574,0.260616,-0.261209,0.997729,19.426869,0.529657,0.499589,0.484388,0.881783,0.725881,2015,2434,1.018425,0.2722,-0.254619,1.069049,19.950205,0.519496,0.481547,0.495606,0.709261,0.486474,2015,1707,1.338796,0.226851,-0.13144,1.725886,18.198074,0.552342,0.541953,0.458047,0.806989,0.629429,2022,727,1.211386,0.310403,-0.323796,0.958637,18.637084,0.528571,0.475436,0.524564,0.8229,0.346208,2025,631,1.106056,0.271171,-0.323796,0.837474,19.264274,0.529587,0.494617,0.492659,0.96541,0.861707,2015,3065,1.018425
C_1000_only,symmetric,1000,1000,1,False,True,1.294908,0.339543,-0.321004,1.057752,19.426869,0.527151,0.499589,0.484388,1.109112,0.947067,2015,2434,1.234142,0.351642,-0.268758,1.308395,19.950205,0.520096,0.481547,0.495606,0.932461,0.775703,2015,1707,1.52643,0.303311,-0.17169,1.766621,18.198074,0.5427,0.541953,0.458047,0.996659,0.559892,2022,727,1.341162,0.37729,-0.349254,1.080274,18.637084,0.533333,0.475436,0.524564,0.988289,0.602573,2025,631,1.306319,0.347762,-0.349254,0.995728,19.264274,0.528595,0.494617,0.492659,1.16717,1.057028,2015,3065,1.234142
C_1000_only,symmetric,blend,blend,1,False,True,1.199513,0.300079,-0.289654,1.035993,19.426869,0.525898,0.499589,0.484388,1.008334,0.847166,2015,2434,1.137662,0.311921,-0.259156,1.203604,19.950205,0.520096,0.481547,0.495606,0.82943,0.640041,2015,1707,1.46038,0.265081,-0.131245,2.019742,18.198074,0.538567,0.541953,0.458047,0.925914,0.604298,2022,727,1.291656,0.343847,-0.336202,1.022738,18.637084,0.530159,0.475436,0.524564,0.918678,0.488861,2025,631,1.220717,0.309467,-0.336202,0.920478,19.264274,0.526942,0.494617,0.492659,1.079781,0.971305,2015,3065,1.137662
D_four_plus_dividend,longflat,500,500,5,False,True,1.390341,0.222839,-0.170036,1.310538,10.26705,0.558704,0.486442,0.0,1.121255,0.920049,2015,2434,1.576475,0.278727,-0.170036,1.639223,11.338606,0.564042,0.476274,0.0,1.246664,0.976616,2015,1707,0.763421,0.085047,-0.13144,0.647043,7.751032,0.545692,0.510316,0.0,0.662005,0.183138,2022,727,1.755217,0.302009,-0.120237,2.511786,9.318542,0.540453,0.470681,0.0,1.199984,1.655217,2025,631,1.469295,0.239138,-0.170036,1.406395,10.071778,0.555052,0.483197,0.0,1.282333,1.126624,2015,3065,0.763421
D_four_plus_dividend,longflat,1000,1000,5,False,True,0.99188,0.172606,-0.244016,0.707354,10.26705,0.548178,0.486442,0.0,0.73541,0.578955,2015,2434,1.073529,0.203772,-0.199073,1.023603,11.338606,0.549941,0.476274,0.0,0.727388,0.489483,2015,1707,0.710632,0.091605,-0.131123,0.69862,7.751032,0.543081,0.510316,0.0,0.553596,0.312811,2022,727,1.684394,0.316655,-0.129764,2.440243,9.318542,0.569579,0.470681,0.0,1.240371,1.556648,2025,631,1.142762,0.202262,-0.244016,0.828886,10.071778,0.552461,0.483197,0.0,0.980778,0.828549,2015,3065,0.710632
