date,N1,share_000300,share_000905,share_000852,N2,n_market
2025-08-15,0.296875,0.18729096989966554,0.254,0.25,0.06470903010033446,5312
2025-08-18,0.3092996987951807,0.20066889632107024,0.262,0.26727642276422764,0.06396931506104361,5312
2025-08-19,0.3074171686746988,0.18394648829431437,0.25,0.27134146341463417,0.07672424341300271,5312
2025-08-20,0.31645331325301207,0.18394648829431437,0.26,0.2804878048780488,0.08629741414471004,5312
2025-08-21,0.31682981927710846,0.18729096989966554,0.252,0.28353658536585363,0.08047732278326125,5312
2025-08-22,0.3221009036144578,0.2140468227424749,0.256,0.2936991869918699,0.06080277075346005,5312
2025-08-25,0.33352155091285524,0.22742474916387959,0.282,0.3119918699186992,0.06957118579547003,5313
2025-08-26,0.33973273103707885,0.23076923076923078,0.288,0.3241869918699187,0.07532426516572854,5313
2025-08-27,0.3392924350771547,0.23076923076923078,0.29,0.32893401015228424,0.07869777430691133,5314
2025-08-28,0.3404215280391419,0.24749163879598662,0.294,0.332994923857868,0.0660058231329474,5314
2025-08-29,0.3460669928490779,0.25752508361204013,0.306,0.33908629441624366,0.0650180635960817,5314
2025-09-01,0.34825964252116653,0.27759197324414714,0.312,0.3448275862068966,0.050821819859301176,5315
2025-09-02,0.3500752445447705,0.28762541806020064,0.312,0.345841784989858,0.04129547443472836,5316
2025-09-03,0.34518434913468776,0.2909698996655518,0.306,0.34787018255578095,0.03596519161233863,5316
2025-09-04,0.3422982885085575,0.2909698996655518,0.308,0.345841784989858,0.03595099282937719,5317
2025-09-05,0.34499623777276145,0.3053691275167785,0.316,0.34989858012170383,0.027580162544073417,5316
2025-09-08,0.3368440850103442,0.32550335570469796,0.324,0.35192697768762676,0.012460133139115426,5317
2025-09-09,0.3318916886047386,0.32550335570469796,0.326,0.35192697768762676,0.013460133139115427,5318
2025-09-10,0.3253102670176758,0.32550335570469796,0.322,0.34787018255578095,0.00943173557319249,5318
2025-09-11,0.32794283565250093,0.32550335570469796,0.324,0.34685598377281945,0.009924636181711743,5318
2025-09-12,0.325187969924812,0.32550335570469796,0.33,0.33772819472616633,0.00836074165838524,5320
2025-09-15,0.31554219131742156,0.33221476510067116,0.336,0.3275862068965517,-0.00042166165239532205,5321
2025-09-16,0.3055816575831611,0.33557046979865773,0.34,0.32150101419878296,-0.004819962699266267,5321
2025-09-17,0.2975004698364969,0.3389261744966443,0.344,0.31947261663286003,-0.007189866180214333,5321
2025-09-18,0.2952452546513813,0.3422818791946309,0.348,0.3204868154158215,-0.008038471486720156,5321
2025-09-19,0.2886675436947942,0.3389261744966443,0.34,0.3133874239350913,-0.012232462529098653,5321
2025-09-22,0.27414505824877866,0.30201342281879195,0.328,0.2938196555217832,0.008896404942099645,5322
2025-09-23,0.26042841037204056,0.2986577181208054,0.318,0.28368794326241137,0.0021862535104003045,5322
2025-09-24,0.26338530903625773,0.30201342281879195,0.334,0.28976697061803447,0.009870062490225262,5323
2025-09-25,0.252301333834304,0.2986577181208054,0.32,0.2695035460992908,-0.0039059450711599886,5323
2025-09-26,0.24572609430772122,0.28859060402684567,0.306,0.2613981762917933,-0.004891515880949049,5323
2025-09-29,0.2364763335837716,0.27181208053691275,0.29,0.24822695035460993,-0.0026986053596078086,5324
2025-09-30,0.2382115348487695,0.2809364548494983,0.292,0.25835866261398177,-0.005757123542507403,5323
2025-10-09,0.24459891038887846,0.3010033444816054,0.316,0.26545086119554206,-0.010277913883834366,5323
2025-10-10,0.24868519909842224,0.29431438127090304,0.328,0.2725430597771023,0.0059571486176481225,5324
2025-10-13,0.24915508824633872,0.2976588628762542,0.336,0.27530364372469635,0.007992958986093979,5326
2025-10-14,0.24187793427230048,0.29431438127090304,0.326,0.27631578947368424,0.006843513465939088,5325
2025-10-15,0.24352234322193014,0.29431438127090304,0.328,0.2793522267206478,0.009361732089420871,5326
2025-10-16,0.24258355238452872,0.3010033444816054,0.328,0.27530364372469635,0.0006484773807428068,5326
2025-10-17,0.24070597070972588,0.30434782608695654,0.32,0.27530364372469635,-0.006696004224608365,5326
2025-10-20,0.2390161472024033,0.3010033444816054,0.32,0.2742914979757085,-0.003857595493751087,5326
2025-10-21,0.23686186186186187,0.2976588628762542,0.326,0.2682186234817814,-0.0005495511353634797,5328
2025-10-22,0.23048048048048048,0.2976588628762542,0.32,0.2651821862348178,-0.005067769758845264,5328
2025-10-23,0.22128378378378377,0.2976588628762542,0.318,0.25303643724696356,-0.012140644252772392,5328
2025-10-24,0.21523738037155188,0.29431438127090304,0.31,0.243680485338726,-0.017474138601540012,5329
2025-10-27,0.21632270168855536,0.2976588628762542,0.32,0.24343434343434345,-0.015941691159082505,5330
2025-10-28,0.21482176360225141,0.29431438127090304,0.312,0.23737373737373738,-0.019627512584034335,5330
2025-10-29,0.21594746716697935,0.3110367892976589,0.316,0.23939393939393938,-0.03333981960068921,5330
2025-10-30,0.21125703564727955,0.3177257525083612,0.31,0.2313131313131313,-0.047069186851795564,5330
