date,R1,R2,R3,R4,n_U,n_300,n_1000
2024-10-15,-0.265224358974359,-0.010510548952668081,0.1678656653565413,-0.02586625751182714,1248.0,297.0,790.0
2024-10-16,-0.23717948717948717,-0.0077711539828955595,0.19023332709464097,-0.038145164727443226,1248.0,297.0,790.0
2024-10-17,-0.22177742193755004,-0.0069910727206804035,0.2105015723852399,-0.03129908439642953,1249.0,297.0,791.0
2024-10-18,-0.2214228617106315,-0.006488476201983109,0.21385221919551736,-0.004908267203349165,1251.0,297.0,793.0
2024-10-21,-0.23421262989608313,-0.007731715945035026,0.20278252357726098,-0.018805117165772905,1251.0,297.0,793.0
2024-10-22,-0.24,-0.008272118066761341,0.19548387096774195,-0.015572390572390571,1250.0,297.0,792.0
2024-10-23,-0.24419535628502803,-0.008845167829248097,0.19058725241062413,-0.007575757575757597,1249.0,297.0,792.0
2024-10-24,-0.24419535628502803,-0.009522452817290875,0.1818496597921424,-0.02104377104377106,1249.0,297.0,792.0
2024-10-25,-0.2530024019215372,-0.010913169985202958,0.16500402894662997,-0.02230639730639733,1249.0,297.0,792.0
2024-10-28,-0.3234349919743178,-0.019555651003260115,0.08572899516394589,-1.7048118313933713e-05,1246.0,297.0,790.0
2024-10-29,-0.34723336006415395,-0.02327793907598929,0.05678270419287418,0.01982317911521453,1247.0,297.0,791.0
2024-10-30,-0.3744987971130714,-0.028515262486650046,0.008326243015339518,0.0505774134092718,1247.0,297.0,791.0
2024-10-31,-0.40770465489566615,-0.03358657251037474,-0.03531300160513645,0.049452329199164646,1246.0,297.0,790.0
2024-11-01,-0.43569131832797425,-0.04007254400493417,-0.06621340668138792,0.09399408637987317,1244.0,297.0,788.0
2024-11-04,-0.4481094127111826,-0.04900453004984015,-0.0829408733853399,0.08047073791348602,1243.0,296.0,786.0
2024-11-05,-0.4413183279742765,-0.050577949657776074,-0.08578060726801645,0.057050379477317226,1244.0,296.0,787.0
2024-11-06,-0.4505229283990346,-0.05254589835636238,-0.12387766355152252,0.059188158934029345,1243.0,296.0,787.0
2024-11-07,-0.4577634754625905,-0.0540824088970095,-0.1519849842908409,0.06554139908650708,1243.0,296.0,787.0
2024-11-08,-0.4561544650040225,-0.055098234164887384,-0.16368651628607378,0.06510783337339882,1243.0,296.0,787.0
2024-11-11,-0.4605475040257649,-0.057399207521112966,-0.1672782732565341,0.04370400935286428,1242.0,296.0,786.0
2024-11-12,-0.45850120870265915,-0.05754935537491251,-0.19327684972830017,0.03962385952831815,1241.0,296.0,785.0
2024-11-13,-0.46246973365617433,-0.05809019396722403,-0.22529024647668716,0.037265581908439094,1239.0,296.0,784.0
2024-11-14,-0.4608555286521388,-0.0583639414568575,-0.23907810671458876,0.0313361831218974,1239.0,296.0,784.0
2024-11-15,-0.45564516129032256,-0.05766008294813878,-0.23422229957969107,0.01763642623515238,1240.0,296.0,785.0
2024-11-18,-0.4605475040257649,-0.057830867061380034,-0.22633487412968176,0.021723058936799378,1242.0,296.0,786.0
2024-11-19,-0.4622186495176849,-0.05689760595675626,-0.22221864951768489,0.03326930991905608,1244.0,296.0,788.0
