theta_L,h,w_S,kou_jing,carry_source,is_incumbent,is_symmetric_1a,net_sharpe_selection_2014_2023,net_ann_selection_2014_2023,maxdd_selection_2014_2023,calmar_selection_2014_2023,turnover_selection_2014_2023,hit_selection_2014_2023,long_frac_selection_2014_2023,short_frac_selection_2014_2023,n_obs_selection_2014_2023,net_sharpe_train_2014_2020,net_ann_train_2014_2020,maxdd_train_2014_2020,calmar_train_2014_2020,turnover_train_2014_2020,hit_train_2014_2020,long_frac_train_2014_2020,short_frac_train_2014_2020,n_obs_train_2014_2020,net_sharpe_val_2021_2023,net_ann_val_2021_2023,maxdd_val_2021_2023,calmar_val_2021_2023,turnover_val_2021_2023,hit_val_2021_2023,long_frac_val_2021_2023,short_frac_val_2021_2023,n_obs_val_2021_2023,net_sharpe_holdout_2024_2026,net_ann_holdout_2024_2026,maxdd_holdout_2024_2026,calmar_holdout_2024_2026,turnover_holdout_2024_2026,hit_holdout_2024_2026,long_frac_holdout_2024_2026,short_frac_holdout_2024_2026,n_obs_holdout_2024_2026,net_sharpe_full_2014_2026,net_ann_full_2014_2026,maxdd_full_2014_2026,calmar_full_2014_2026,turnover_full_2014_2026,hit_full_2014_2026,long_frac_full_2014_2026,short_frac_full_2014_2026,n_obs_full_2014_2026,worst_tv_sharpe
0.1,0.0,-0.5,500,500,False,False,1.235203,0.204689,-0.183118,1.1178,15.551561,0.502084,0.415366,0.430567,2434,1.354213,0.244427,-0.183118,1.334807,16.362039,0.496933,0.387815,0.428237,1707,0.847338,0.104819,-0.142382,0.73618,13.648556,0.512301,0.480055,0.436039,727,1.705589,0.326056,-0.175004,1.863129,15.919176,0.517182,0.44691,0.435816,631,1.341991,0.229828,-0.183118,1.255082,15.627243,0.50547,0.42186,0.431648,3065,0.847338
0.1,0.0,-0.5,1000,1000,False,False,1.287158,0.231989,-0.205229,1.13039,15.551561,0.503474,0.415366,0.430567,2434,1.344762,0.260562,-0.205229,1.269618,16.362039,0.503067,0.387815,0.428237,1707,1.098485,0.157075,-0.138204,1.136544,13.648556,0.503618,0.480055,0.436039,727,1.693483,0.352466,-0.185213,1.903029,15.919176,0.520619,0.44691,0.435816,631,1.379515,0.257016,-0.205229,1.252337,15.627243,0.507294,0.42186,0.431648,3065,1.098485
0.1,0.0,-0.5,blend,blend,False,False,1.272581,0.218339,-0.192122,1.136457,15.551561,0.499305,0.415366,0.430567,2434,1.358487,0.252494,-0.192122,1.314238,16.362039,0.498978,0.387815,0.428237,1707,0.995797,0.130947,-0.140257,0.93362,13.648556,0.499276,0.480055,0.436039,727,1.712238,0.339261,-0.178455,1.901101,15.919176,0.5189,0.44691,0.435816,631,1.372472,0.243422,-0.192122,1.267014,15.627243,0.503647,0.42186,0.431648,3065,0.995797
0.1,0.0,-1.0,500,500,False,False,1.028838,0.227275,-0.248864,0.913252,20.634758,0.502084,0.415366,0.430567,2434,1.067276,0.257329,-0.248864,1.034017,21.672525,0.496933,0.387815,0.428237,1707,0.917404,0.150143,-0.154531,0.971604,18.198074,0.512301,0.480055,0.436039,727,1.472195,0.364053,-0.267265,1.362141,20.190174,0.517182,0.44691,0.435816,631,1.128726,0.255739,-0.267265,0.956875,20.54323,0.50547,0.42186,0.431648,3065,0.917404
0.1,0.0,-1.0,1000,1000,False,False,1.277724,0.308282,-0.266137,1.158356,20.634758,0.503474,0.415366,0.430567,2434,1.310304,0.340019,-0.266137,1.277608,21.672525,0.503067,0.387815,0.428237,1707,1.180112,0.225939,-0.146404,1.543257,18.198074,0.503618,0.480055,0.436039,727,1.483268,0.400793,-0.296932,1.349781,20.190174,0.520619,0.44691,0.435816,631,1.324474,0.327775,-0.296932,1.103874,20.54323,0.507294,0.42186,0.431648,3065,1.180112
0.1,0.0,-1.0,blend,blend,False,False,1.168372,0.267778,-0.253353,1.056938,20.634758,0.499305,0.415366,0.430567,2434,1.201638,0.298674,-0.253353,1.178885,21.672525,0.498978,0.387815,0.428237,1707,1.073407,0.188041,-0.149623,1.256765,18.198074,0.499276,0.480055,0.436039,727,1.491888,0.382423,-0.28058,1.362973,20.190174,0.5189,0.44691,0.435816,631,1.241462,0.291757,-0.28058,1.039836,20.54323,0.503647,0.42186,0.431648,3065,1.073407
0.1,0.1,0.0,500,500,False,False,1.299626,0.176483,-0.139239,1.267481,8.857847,0.550978,0.380855,0.0,2434,1.538388,0.225577,-0.120437,1.87298,9.042179,0.559105,0.349151,0.0,1707,0.51929,0.054644,-0.139239,0.392451,8.425034,0.534884,0.455296,0.0,727,1.732485,0.28404,-0.142491,1.993383,10.095087,0.555147,0.41046,0.0,631,1.398316,0.198626,-0.197891,1.003716,9.112561,0.551891,0.386949,0.0,3065,0.51929
0.1,0.1,0.0,1000,1000,False,False,1.045762,0.154529,-0.188089,0.821577,8.857847,0.549949,0.380855,0.0,2434,1.150188,0.181568,-0.165067,1.099965,9.042179,0.557508,0.349151,0.0,1707,0.69297,0.08322,-0.140411,0.592687,8.425034,0.534884,0.455296,0.0,727,1.652113,0.295156,-0.156612,1.884637,10.095087,0.573529,0.41046,0.0,631,1.186484,0.183481,-0.188089,0.9755,9.112561,0.555109,0.386949,0.0,3065,0.69297
0.1,0.1,0.0,blend,blend,False,False,1.176389,0.165506,-0.139609,1.185501,8.857847,0.548919,0.380855,0.0,2434,1.345469,0.203572,-0.137823,1.477061,9.042179,0.560703,0.349151,0.0,1707,0.620368,0.068932,-0.139609,0.493752,8.425034,0.526163,0.455296,0.0,727,1.701137,0.289598,-0.147097,1.968756,10.095087,0.577206,0.41046,0.0,631,1.297357,0.191053,-0.178805,1.068503,9.112561,0.555109,0.386949,0.0,3065,0.620368
0.1,0.1,-0.25,500,500,False,False,1.354019,0.1918,-0.139848,1.371492,11.147802,0.504536,0.380855,0.39811,2434,1.551636,0.237523,-0.139848,1.698444,11.482132,0.499624,0.349151,0.391916,1707,0.711203,0.077875,-0.130153,0.598335,10.362792,0.513761,0.455296,0.412655,727,1.764735,0.299843,-0.159614,1.878558,12.03645,0.521978,0.41046,0.419968,631,1.447657,0.214119,-0.190465,1.124191,11.33075,0.508495,0.386949,0.40261,3065,0.711203
