date,T1_IF,T2_IF,n_used_IF,T1_IH,T2_IH,n_used_IH,T1_IC,T2_IC,n_used_IC,T1_IM,T2_IM,n_used_IM
2025-04-28,-0.08083674370776311,-0.049000870536918754,4.0,-0.02217369448575919,-0.008919999754220566,4.0,-0.10782229394818953,-0.05712239727434777,4.0,-0.10434581384380878,-0.054598622876409944,4.0
2025-04-29,-0.07764766575716277,-0.04476184352332074,4.0,-0.03401716498896943,-0.016229881750675863,4.0,-0.06798684116258318,-0.027511091942767116,4.0,-0.04595115175095434,-0.016337278883090375,4.0
2025-04-30,-0.0986573592625603,-0.05719331038430384,4.0,-0.036900355592098096,-0.017512446850086086,4.0,-0.1291541507345408,-0.06879836681078826,4.0,-0.1020332799624831,-0.053095670521374164,4.0
2025-05-06,-0.08336542036355446,-0.051359479202599714,4.0,-0.00330734115717056,0.0059573727799122,4.0,-0.19129272887709786,-0.12188278217984827,4.0,-0.21574425990013002,-0.137132758432303,4.0
2025-05-07,-0.14141237151578848,-0.09511268961136551,4.0,-0.08629004195328212,-0.053524947112545976,4.0,-0.2058578415888136,-0.12401565954003432,4.0,-0.2780539550947392,-0.18260976302413962,4.0
2025-05-08,-0.05114610839669139,-0.030014713505551002,4.0,0.022979977953281678,0.022759695277505262,4.0,-0.12782730202130962,-0.07088032082918064,4.0,-0.16867834905303528,-0.10308001388369648,4.0
2025-05-09,-0.04029607455069493,-0.021714544898814317,4.0,0.02230301460019713,0.026728501024203818,4.0,-0.1314030645366829,-0.07045525025462382,4.0,-0.16517672169921382,-0.09830577085321139,4.0
2025-05-12,-0.06139157027099948,-0.03061168709403262,3.0,-0.04552610516201296,-0.022700688053387284,3.0,-0.12745858815796984,-0.06355469327328911,3.0,-0.1471606905781828,-0.073378755301998,3.0
2025-05-13,-0.09458893649410602,-0.04716489436144457,3.0,-0.07115593549619656,-0.035480493863856925,3.0,-0.19358955653281928,-0.09652958709307691,3.0,-0.21796533392118075,-0.10868408431138318,3.0
2025-05-14,-0.06115882101766394,-0.030495631301958454,3.0,-0.055849326444162045,-0.02784815729544519,3.0,-0.12736849806078016,-0.06350977163578628,3.0,-0.12822893928917517,-0.06393881356336961,3.0
