underlying,lookback,z_window,smoothing,sharpe_full,sharpe_2014-2020,sharpe_2021-2023,sharpe_2024-2026,worst_tv
div｜中证红利,10,20,5,0.22841222792115676,0.3383342262402352,-0.29065003898759995,0.4482977486763899,-0.29065003898759995
div｜中证红利,10,30,0,0.1625193556169692,0.4605344079713662,-0.28651534754639174,-0.49838935268810336,-0.28651534754639174
div｜中证红利,10,30,5,0.30766193941361847,0.5212999282566707,-0.10425305297191137,-0.07102010445572476,-0.10425305297191137
div｜中证红利,10,50,0,0.37652982361466414,0.6900149440612071,-0.0037928543960296423,-0.4201342020166389,-0.0037928543960296423
div｜中证红利,10,50,5,0.6893436833179707,0.9279011210798268,0.46015515113644484,0.024550196343810303,0.46015515113644484
div｜中证红利,10,250,0,0.49012680063151765,0.7311176100911121,0.16926987143034208,-0.07339764255150916,0.16926987143034208
div｜中证红利,10,250,5,0.5134925009478222,0.8259291842808488,-0.059049036802083,-0.026320960603923724,-0.059049036802083
div｜中证红利,20,40,0,0.5722158503124037,0.8310600775578156,0.005973827027791121,0.284835771430683,0.005973827027791121
div｜中证红利,20,40,5,0.8153392871131034,1.1288959503354818,0.019745278514044604,0.632678101240218,0.019745278514044604
div｜中证红利,20,60,0,0.644564127625468,0.9049929727667091,-0.11810136220077859,0.570709800527759,-0.11810136220077859
div｜中证红利,20,60,5,0.8635954415633145,1.178969945995889,0.08838017289039798,0.6534773524503192,0.08838017289039798
div｜中证红利,20,100,0,0.9941194297970513,1.3656992131193841,0.30365692433826175,0.5088173706948079,0.30365692433826175
div｜中证红利,20,100,5,0.8925475988751335,1.0687086604385148,0.42251388338531554,0.8312211398590649,0.42251388338531554
div｜中证红利,20,250,0,0.9345563913343257,1.180838902683793,0.3286008025282599,0.7469219233722838,0.3286008025282599
div｜中证红利,20,250,5,0.8282840288335269,0.9885017325758433,0.24142673762347658,0.9333225125504025,0.24142673762347658
div｜中证红利,40,80,0,0.8854891957422698,1.1262802163239762,0.8201451883117417,0.24081196871372254,0.8201451883117417
div｜中证红利,40,80,5,0.9017598480890501,1.071370291344791,1.0220575401000875,0.32429445348299096,1.0220575401000875
div｜中证红利,40,120,0,0.8350528589632557,1.09437461612794,0.697346260839255,0.1834953791824938,0.697346260839255
div｜中证红利,40,120,5,0.7023604002981874,0.877352134317984,0.4646219491744103,0.3742218924384754,0.4646219491744103
div｜中证红利,40,200,0,0.6489611169566489,0.7368693944700768,0.6239406547478777,0.4109669213535032,0.6239406547478777
div｜中证红利,40,200,5,0.4310171594342318,0.365426281586441,0.7497435733503078,0.3863169690141716,0.365426281586441
div｜中证红利,40,250,0,0.6445870665167547,0.7731009620772753,0.5874290825223111,0.3156542544947565,0.5874290825223111
div｜中证红利,40,250,5,0.515955720794339,0.5532988251122448,0.7958786900930741,0.19637297731116005,0.5532988251122448
div｜中证红利,60,120,0,0.8005995953612461,0.9961285376032659,0.49306925284229614,0.4488866554684904,0.49306925284229614
div｜中证红利,60,120,5,0.6897282238252117,0.8341067696857954,0.5076308959574293,0.3923652794532207,0.5076308959574293
div｜中证红利,60,180,0,0.6545300289326709,0.8477392992723182,0.5256981718760957,0.18534010285655333,0.5256981718760957
div｜中证红利,60,180,5,0.5411738810070923,0.6920911029018949,0.3160912485784715,0.26049474285727703,0.3160912485784715
div｜中证红利,60,300,0,0.4521275192766352,0.4750286436371582,0.4570340700606307,0.40286528344842704,0.4570340700606307
div｜中证红利,60,300,5,0.5011162564916876,0.5695169962416308,0.6448494528796935,0.21762347464084345,0.5695169962416308
div｜中证红利,60,250,0,0.7242901586149385,0.854326294194923,0.7730410724009054,0.3351616381259848,0.7730410724009054
div｜中证红利,60,250,5,0.602592923159356,0.7335089367095008,0.5817487243243914,0.24877182152013505,0.5817487243243914
micro｜万得微盘（上界参考·不可执行）,5,10,0,0.6385415032911917,0.6042702735332688,0.7017171318551966,0.6617931132908857,0.6042702735332688
micro｜万得微盘（上界参考·不可执行）,5,10,5,0.4920383486939729,0.4728396585801174,0.25112670563674006,0.6965267823827426,0.25112670563674006
micro｜万得微盘（上界参考·不可执行）,5,15,0,0.55986986725542,0.37021852467769994,0.8207706146339148,0.7696676047831136,0.37021852467769994
micro｜万得微盘（上界参考·不可执行）,5,15,5,0.5181041773352507,0.5209650781366968,-0.11613049857175842,0.9769398120139713,-0.11613049857175842
micro｜万得微盘（上界参考·不可执行）,5,25,0,0.5979929748896424,0.3635850923815495,0.46539497359959087,1.21970434913266,0.3635850923815495
micro｜万得微盘（上界参考·不可执行）,5,25,5,0.5023504889868639,0.41586643792125627,0.4983394772102725,0.709725799860138,0.41586643792125627
micro｜万得微盘（上界参考·不可执行）,5,250,0,0.8270809211738119,0.7436895160090675,1.0847724059214614,0.8392771946385451,0.7436895160090675
micro｜万得微盘（上界参考·不可执行）,5,250,5,0.9609683439542134,0.8813927424225865,0.9022011283038281,1.2233112344845563,0.8813927424225865
micro｜万得微盘（上界参考·不可执行）,10,20,0,0.8137799359894488,0.9388867294278345,0.33871438869891646,0.8930449512562311,0.33871438869891646
micro｜万得微盘（上界参考·不可执行）,10,20,5,0.9469257831007349,0.644481350200308,0.6441651953734576,2.032728589724163,0.6441651953734576
micro｜万得微盘（上界参考·不可执行）,10,30,0,0.9097811180967795,1.0257065712461308,0.7289623315086927,0.7687487886021881,0.7289623315086927
micro｜万得微盘（上界参考·不可执行）,10,30,5,1.2346365856251333,1.2323128103654142,0.7405038367053637,1.657318393875636,0.7405038367053637
micro｜万得微盘（上界参考·不可执行）,10,50,0,1.1782867594237256,1.3106658795040471,1.1161997141275235,0.8961432917918705,1.1161997141275235
micro｜万得微盘（上界参考·不可执行）,10,50,5,1.5613306466635115,1.6437491198409444,1.373861677129467,1.506341971917628,1.373861677129467
