pair,window,ann,sharpe,maxdd,calmar,turnover,hit,n_obs
spot300+fut300,holdout,0.1820970346140473,1.3458441588209573,-0.1520419635500676,1.197676157043858,11.206624605678233,0.5239520958083832,634
spotdiv+fut500,full,0.20245791329394278,1.4787906166446678,-0.14424323032282882,1.4035869332711453,10.624388653407237,0.5510204081632653,3067
spotdiv+fut500,train,0.2527970119177557,1.6828035391575544,-0.12333450655277378,2.049686004213152,11.34525205158265,0.5634638196915777,1706
spotdiv+fut500,val,0.06576952612159732,0.6619004385422351,-0.1280714207678132,0.5135378816545968,8.42503438789546,0.5319693094629157,727
spotdiv+fut500,holdout,0.22374175433821766,1.6422868094823653,-0.1276527269464629,1.7527377572752845,11.206624605678233,0.5419161676646707,634
spotdiv+fut1000,full,0.19078062202677273,1.3396875740465253,-0.1411665532718609,1.3514576760924681,10.624388653407237,0.5542091836734694,3067
spotdiv+fut1000,train,0.21848872439092049,1.4095888136086128,-0.1411665532718609,1.5477371893478993,11.34525205158265,0.5527876631079478,1706
spotdiv+fut1000,val,0.08383620949734716,0.7939888645625708,-0.12515821882239875,0.6698418233029658,8.42503438789546,0.5396419437340153,727
spotdiv+fut1000,holdout,0.2388540688338016,1.6619593704449553,-0.13472393500877355,1.7729148782526791,11.206624605678233,0.5748502994011976,634
spotdiv+fut300,full,0.1309417052288362,1.0484731351426846,-0.17684997006075787,0.7404112377505655,10.624388653407237,0.5293367346938775,3067
spotdiv+fut300,train,0.17709502762718732,1.2987392252429233,-0.12696263164346244,1.3948594585256164,11.34525205158265,0.5397390272835113,1706
spotdiv+fut300,val,0.014187987639770024,0.1395387976020981,-0.15888579274451065,0.08929676716019788,8.42503438789546,0.49872122762148335,727
spotdiv+fut300,holdout,0.14063000913366916,1.2095521400944822,-0.12446948218788867,1.1298352548891135,11.206624605678233,0.5389221556886228,634
incumbent_blend,full,0.2600901194327779,1.6000679889605975,-0.16817388288057789,1.546554762117675,10.624388653407237,0.5599489795918368,3067
incumbent_blend,train,0.289417479871015,1.6947405608943817,-0.1348188666457084,2.1467134910099603,11.34525205158265,0.5634638196915777,1706
incumbent_blend,val,0.12249877198504426,1.0411358065619627,-0.13150032695840075,0.9315472806679479,8.42503438789546,0.5396419437340153,727
incumbent_blend,holdout,0.3389488460682193,1.8539551765474023,-0.16817388288057888,2.0154666126660614,11.206624605678233,0.5748502994011976,634
