Date,000057.SH,000058.SH,000918.CSI,000919.CSI,H30351.CSI,H30352.CSI,H30355.CSI,H30356.CSI,000028.SH,000029.SH,000117.SH,000118.SH,932406.CSI,932407.CSI,932408.CSI,932409.CSI,399346.SZ,399348.SZ,399370.SZ,399371.SZ,399372.SZ,399373.SZ,399374.SZ,399375.SZ,399376.SZ,399377.SZ,399602.SZ,399604.SZ,399630.SZ,399631.SZ
2026-03-23,3590.9045,4519.1781,4932.134,5049.1009,7322.7936,10115.7097,5868.5574,6358.1368,3619.229,4188.4613,4108.1151,10262.5927,2965.2138,2646.5713,4133.3563,3108.3425,4519.7634,6377.0742,5003.1235,7009.442,5119.221,8075.6108,4711.2717,6221.9142,6323.2354,7584.5027,1266.1588,2063.7117,1797.7002,2200.3559
2026-03-20,3731.0138,4653.0198,5103.0422,5206.7194,7692.2362,10490.6818,6120.6801,6561.618,3753.1872,4315.4442,4281.9776,10612.5957,3098.3931,2791.7948,4344.7282,3297.1625,4661.8212,6578.626,5166.2453,7238.6189,5279.3313,8331.7965,4861.4466,6411.3752,6563.6258,7879.2953,1307.2969,2126.2912,1860.0518,2276.7519
2026-03-19,3776.4508,4691.3703,5083.0395,5249.065,7822.8609,10606.7084,6112.8632,6615.495,3801.946,4346.571,4338.4971,10709.1957,3139.3576,2847.0998,4438.2935,3393.7611,4591.7468,6622.3679,5157.0248,7295.4062,5239.9993,8391.9898,4893.5428,6473.9268,6611.1866,7937.002,1311.3596,2139.7603,1847.7567,2291.9248
2026-03-18,3880.6831,4732.6772,5182.2535,5296.9254,8051.9687,10881.7657,6267.2929,6704.3745,3911.0842,4363.3593,4459.5497,10945.9745,3197.4167,2917.716,4528.3303,3477.2126,4670.2365,6769.6802,5275.2265,7401.3165,5332.0584,8442.4239,5041.0155,6654.0529,6823.0712,8130.8233,1346.9024,2185.2912,1884.5046,2343.3911
2026-03-17,3873.2877,4745.6872,5134.5705,5306.592,7894.735,10895.6104,6118.876,6720.6834,3909.7061,4375.5457,4425.4804,10999.0851,3200.9412,2860.9355,4485.7308,3391.1403,4609.4456,6778.3232,5236.8753,7416.1843,5297.6126,8466.5778,5005.0758,6644.7982,6754.1255,8161.9402,1339.6689,2185.232,1860.1303,2343.0678
2026-03-16,3893.923,4741.7867,5183.1802,5296.8491,8041.8586,11059.912,6236.4025,6731.2671,3922.1845,4353.344,4504.6258,11140.4148,3249.7972,2946.2369,4562.9226,3491.172,4702.2109,6852.9207,5316.813,7450.0699,5350.5682,8423.4125,5128.741,6790.3342,6897.4606,8262.5976,1359.1677,2222.501,1900.0646,2373.8654
2026-03-13,3908.2363,4785.4192,5146.5854,5336.4365,8069.3032,11293.5785,6233.4622,6798.4746,3941.3951,4372.9916,4542.2667,11340.9098,3272.1565,2927.532,4575.2168,3472.1965,4679.1641,6904.7622,5313.9004,7518.2772,5304.855,8453.3477,5202.7772,6920.3838,6948.1822,8372.3462,1361.7776,2232.3232,1894.2251,2392.807
2026-03-12,3950.0562,4799.6034,5162.7542,5353.0698,8151.8586,11392.0622,6273.2971,6832.245,3983.5065,4380.4656,4617.2954,11426.0187,3296.8313,2986.5263,4617.2253,3526.8694,4672.8721,6946.3442,5337.3241,7558.5507,5308.2051,8467.2099,5258.6437,7009.8873,7009.3207,8428.1466,1367.86,2242.1599,1900.4576,2405.4835
2026-03-11,3974.6352,4767.9713,5198.9585,5326.1051,8244.1962,11307.8002,6355.9677,6801.2259,4010.6317,4354.1133,4633.7497,11322.8667,3275.0778,3025.9951,4636.1468,3567.519,4705.9427,6950.3178,5371.9234,7521.1079,5339.2514,8427.4626,5287.0124,6964.5493,7078.2749,8396.9423,1381.0198,2234.7737,1917.4566,2404.3562
2026-03-10,3982.6729,4714.7692,5159.8436,5273.6797,8277.7522,11180.6819,6353.8244,6730.0291,4013.2059,4304.9671,4652.3806,11186.1317,3242.2665,3040.1706,4619.7072,3582.1569,4641.9727,6886.2921,5336.6092,7436.3326,5279.4408,8350.1355,5284.2012,6855.6601,7083.6207,8297.6119,1372.5954,2200.6757,1895.8191,2376.197
2026-03-09,3930.1749,4720.6357,5059.2476,5271.4738,8119.79,11139.3827,6222.1498,6721.4709,3974.4448,4313.3118,4570.6474,11179.3824,3228.0448,2954.2291,4560.5599,3477.1263,4535.4549,6839.998,5245.6348,7423.3702,5189.5199,8356.7242,5202.5979,6843.1335,6948.6568,8219.1707,1349.8594,2192.8623,1851.8694,2357.5087
2026-03-06,3990.2031,4752.346,5120.3332,5314.3386,8200.9662,11239.4606,6334.4135,6781.3975,4035.7159,4341.5504,4662.4622,11289.3505,3240.8671,2973.2674,4580.0149,3509.383,4564.0944,6920.1032,5298.1818,7486.4605,5232.3976,8412.9443,5267.609,6923.8679,7035.5461,8297.6596,1362.2123,2208.071,1864.2907,2376.9143
