date,pair_01_factor_5,pair_02_factor_5,pair_03_factor_5,pair_04_factor_5,raw_signal_5,factor_value_raw,factor_value
2014-07-28,-0.649,-0.7354,-0.1121,0.1015,-0.3487,-0.3487,-0.3487
2014-07-29,-0.2086,-0.5811,0.011,0.4465,-0.083,-0.083,-0.083
2014-07-30,0.7116,0.0044,0.4775,0.2121,0.3514,0.3514,0.3514
2014-07-31,0.8366,0.4334,0.5913,0.6223,0.6209,0.6209,0.6209
2014-08-01,0.8486,0.4527,0.6295,0.6784,0.6523,0.6523,0.6523
2014-08-04,0.6465,0.6567,0.3786,0.5811,0.5657,0.5657,0.5657
2014-08-05,0.3383,0.5661,0.3804,0.2713,0.389,0.389,0.389
2014-08-06,0.2078,0.3564,0.1748,0.0137,0.1882,0.1882,0.1882
2014-08-07,0.1789,0.5593,0.4289,0.3644,0.3829,0.3829,0.3829
2014-08-08,0.2673,0.6253,0.5691,0.4201,0.4704,0.4704,0.4704
2014-08-11,0.4979,0.6422,0.6069,0.3773,0.5311,0.5311,0.5311
2014-08-12,0.4739,0.7056,0.3545,0.2082,0.4356,0.4356,0.4356
2014-08-13,0.1147,0.51,0.2258,0.6655,0.379,0.379,0.379
2014-08-14,0.0153,0.3829,0.0857,0.4347,0.2296,0.2296,0.2296
2014-08-15,-0.3733,-0.0459,-0.0725,0.4301,-0.0154,-0.0154,-0.0154
2014-08-18,-0.0416,-0.0,0.3595,0.2381,0.139,0.139,0.139
2014-08-19,-0.1081,-0.0637,0.6382,0.5276,0.2485,0.2485,0.2485
2014-08-20,0.2687,-0.0472,0.5813,-0.451,0.088,0.088,0.088
2014-08-21,0.5063,0.0623,0.6322,-0.0785,0.2805,0.2805,0.2805
2014-08-22,0.5417,-0.08,0.5437,-0.258,0.1868,0.1868,0.1868
2014-08-25,0.1806,-0.3646,0.0897,-0.475,-0.1423,-0.1423,-0.1423
2014-08-26,-0.1577,-0.5773,-0.331,-0.546,-0.403,-0.403,-0.403
2014-08-27,-0.1198,-0.4393,0.0952,-0.3929,-0.2142,-0.2142,-0.2142
2014-08-28,-0.5288,-0.5884,-0.3552,-0.4327,-0.4763,-0.4763,-0.4763
2014-08-29,-0.2701,-0.4842,-0.063,-0.7965,-0.4035,-0.4035,-0.4035
2014-09-01,0.2611,-0.3199,0.2671,-0.7793,-0.1427,-0.1427,-0.1427
2014-09-02,0.3302,-0.4434,0.214,-0.7388,-0.1595,-0.1595,-0.1595
2014-09-03,0.0884,-0.2197,0.2956,0.207,0.0928,0.0928,0.0928
2014-09-04,-0.0388,-0.476,0.2822,-0.1127,-0.0863,-0.0863,-0.0863
2014-09-05,-0.3103,-0.6492,-0.4752,0.3591,-0.2689,-0.2689,-0.2689
2014-09-09,-0.687,-0.766,-0.687,0.7594,-0.3451,-0.3451,-0.3451
2014-09-10,-0.3618,-0.6012,-0.5312,0.4674,-0.2567,-0.2567,-0.2567
2014-09-11,-0.5144,-0.2914,-0.6051,0.0635,-0.3369,-0.3369,-0.3369
2014-09-12,-0.4524,-0.131,-0.6404,-0.4959,-0.4299,-0.4299,-0.4299
2014-09-15,-0.3805,0.6522,-0.5766,-0.7316,-0.2591,-0.2591,-0.2591
2014-09-16,-0.8372,0.8181,-0.6711,-0.331,-0.2553,-0.2553,-0.2553
2014-09-17,-0.8299,0.5181,-0.7182,0.0466,-0.2459,-0.2459,-0.2459
2014-09-18,-0.4918,0.2888,-0.683,0.0963,-0.1974,-0.1974,-0.1974
2014-09-19,-0.2539,0.2014,-0.4316,0.5649,0.0202,0.0202,0.0202
2014-09-22,0.3656,0.2271,-0.1853,0.8101,0.3044,0.3044,0.3044
2014-09-23,0.8718,0.2062,0.0224,0.504,0.4011,0.4011,0.4011
2014-09-24,0.718,-0.085,0.0432,0.6169,0.3233,0.3233,0.3233
2014-09-25,0.3678,-0.2911,-0.0627,0.7664,0.1951,0.1951,0.1951
2014-09-26,0.359,0.1778,-0.5105,0.3559,0.0956,0.0956,0.0956
2014-09-29,0.1182,-0.1815,-0.3887,-0.1837,-0.1589,-0.1589,-0.1589
2014-09-30,-0.0969,0.5554,0.0569,-0.0071,0.1271,0.1271,0.1271
2014-10-08,0.4664,0.8599,0.2684,0.5215,0.529,0.529,0.529
2014-10-09,0.396,0.5596,0.2424,0.0131,0.3028,0.3028,0.3028
2014-10-10,0.2316,0.4522,0.6158,0.7654,0.5163,0.5163,0.5163
2014-10-13,0.0163,0.2733,0.3506,0.7505,0.3477,0.3477,0.3477
2014-10-14,-0.1903,-0.3424,-0.0777,0.5104,-0.025,-0.025,-0.025
2014-10-15,-0.551,-0.5722,-0.0539,0.0068,-0.2926,-0.2926,-0.2926
2014-10-16,-0.6486,-0.0675,0.1292,-0.1979,-0.1962,-0.1962,-0.1962
2014-10-17,-0.3743,0.3877,-0.0048,-0.6004,-0.1479,-0.1479,-0.1479
2014-10-20,-0.2624,0.6889,0.5753,-0.306,0.174,0.174,0.174
2014-10-21,-0.1059,0.801,0.5323,-0.2678,0.2399,0.2399,0.2399
2014-10-22,-0.3571,0.6773,0.6726,-0.3414,0.1629,0.1629,0.1629
2014-10-23,-0.0917,0.6165,0.7823,0.1523,0.3648,0.3648,0.3648
2014-10-24,-0.2986,0.3919,0.6688,0.1486,0.2277,0.2277,0.2277
2014-10-27,-0.1056,0.3541,0.4679,-0.3474,0.0922,0.0922,0.0922
2014-10-28,-0.3449,-0.4674,-0.0754,-0.4342,-0.3305,-0.3305,-0.3305
2014-10-29,-0.5574,-0.7333,-0.8034,-0.444,-0.6345,-0.6345,-0.6345
2014-10-30,-0.8436,-0.7783,-0.8783,-0.5845,-0.7711,-0.7711,-0.7711
2014-10-31,-0.8765,-0.8286,-0.8437,-0.646,-0.7987,-0.7987,-0.7987
2014-11-03,-0.8918,-0.8546,-0.8497,-0.624,-0.805,-0.805,-0.805
2014-11-04,-0.8835,-0.7622,-0.6497,-0.621,-0.7291,-0.7291,-0.7291
2014-11-05,-0.7198,-0.6533,-0.4236,-0.4548,-0.5629,-0.5629,-0.5629
2014-11-06,-0.3704,-0.533,-0.1081,-0.4106,-0.3555,-0.3555,-0.3555
2014-11-07,-0.1318,-0.2942,0.1808,-0.1623,-0.1019,-0.1019,-0.1019
2014-11-10,-0.0946,-0.4145,-0.1117,-0.4383,-0.2648,-0.2648,-0.2648
2014-11-11,0.3374,-0.2331,-0.127,0.5159,0.1233,0.1233,0.1233
2014-11-12,0.2855,-0.3584,-0.2238,-0.0337,-0.0826,-0.0826,-0.0826
2014-11-13,-0.1434,-0.3432,-0.5148,-0.6875,-0.4222,-0.4222,-0.4222
2014-11-14,-0.1311,-0.1644,-0.3665,-0.5463,-0.3021,-0.3021,-0.3021
2014-11-17,0.3298,0.3502,0.2517,0.3744,0.3265,0.3265,0.3265
2014-11-18,0.5453,0.2765,0.1993,-0.4803,0.1352,0.1352,0.1352
2014-11-19,0.5599,0.6787,0.6592,0.3274,0.5563,0.5563,0.5563
2014-11-20,0.6522,0.5846,0.7226,0.7089,0.6671,0.6671,0.6671
2014-11-21,0.5642,0.2913,0.5435,0.7124,0.5278,0.5278,0.5278
2014-11-24,0.153,0.0545,0.2678,0.0426,0.1295,0.1295,0.1295
2014-11-25,0.088,0.2262,0.3496,0.161,0.2062,0.2062,0.2062
2014-11-26,-0.0923,0.0685,0.0829,0.0506,0.0274,0.0274,0.0274
2014-11-27,0.0448,0.2654,0.1517,0.4539,0.2289,0.2289,0.2289
2014-11-28,-0.0876,0.4569,0.4109,0.258,0.2595,0.2595,0.2595
2014-12-01,0.0157,0.5913,0.6451,0.5865,0.4596,0.4596,0.4596
2014-12-02,-0.3866,0.3332,0.4028,0.4895,0.2097,0.2097,0.2097
2014-12-03,0.0899,0.0147,0.383,0.233,0.1801,0.1801,0.1801
2014-12-04,-0.4038,-0.0554,0.2767,-0.1148,-0.0743,-0.0743,-0.0743
2014-12-05,-0.2136,-0.2081,-0.0459,0.5345,0.0167,0.0167,0.0167
2014-12-08,-0.7956,-0.8251,-0.8464,0.1706,-0.5741,-0.5741,-0.5741
2014-12-09,-0.2836,-0.8344,-0.8342,-0.1114,-0.5159,-0.5159,-0.5159
2014-12-10,-0.2482,-0.8335,-0.8283,-0.2184,-0.5321,-0.5321,-0.5321
2014-12-11,0.1741,-0.7539,-0.796,-0.5809,-0.4892,-0.4892,-0.4892
2014-12-12,0.1001,-0.6676,-0.5466,-0.8792,-0.4983,-0.4983,-0.4983
2014-12-15,0.8229,0.0342,0.188,-0.6677,0.0944,0.0944,0.0944
2014-12-16,-0.1213,0.1408,0.29,-0.5887,-0.0698,-0.0698,-0.0698
2014-12-17,-0.637,0.4055,0.3882,-0.6004,-0.1109,-0.1109,-0.1109
2014-12-18,-0.7809,0.4093,0.6262,-0.5484,-0.0734,-0.0734,-0.0734
2014-12-19,-0.897,-0.1449,0.0034,-0.7709,-0.4523,-0.4523,-0.4523
2014-12-22,-0.8951,-0.5493,-0.4731,-0.8884,-0.7015,-0.7015,-0.7015
2014-12-23,-0.468,-0.3681,-0.1981,-0.7134,-0.4369,-0.4369,-0.4369
2014-12-24,0.1906,-0.1295,-0.0355,-0.7266,-0.1753,-0.1753,-0.1753
2014-12-25,0.042,-0.3672,-0.3753,-0.6784,-0.3447,-0.3447,-0.3447
2014-12-26,0.3221,-0.2259,-0.3225,-0.4088,-0.1588,-0.1588,-0.1588
2014-12-29,0.3758,-0.2478,-0.3241,-0.1621,-0.0896,-0.0896,-0.0896
2014-12-30,-0.1652,-0.0515,-0.4395,0.0498,-0.1516,-0.1516,-0.1516
2014-12-31,-0.5342,-0.3365,-0.5482,0.3213,-0.2744,-0.2744,-0.2744
2015-01-05,-0.3742,-0.4872,-0.7001,0.1873,-0.3436,-0.3436,-0.3436
2015-01-06,0.0926,0.5153,-0.0461,0.4667,0.2571,0.2571,0.2571
2015-01-07,0.1909,0.6003,0.3305,0.5268,0.4122,0.4122,0.4122
2015-01-08,0.5048,0.7414,0.6357,0.2873,0.5423,0.5423,0.5423
2015-01-09,0.3858,0.7918,0.6817,0.434,0.5733,0.5733,0.5733
2015-01-12,0.6518,0.901,0.8775,0.8457,0.819,0.819,0.819
2015-01-13,0.5787,0.7848,0.7312,0.7325,0.7068,0.7068,0.7068
