date,沪深300成长,沪深300价值,中证500成长,中证500价值,中证1000成长,中证1000价值,中证2000成长,中证2000价值
2014-06-30,2394.714,2239.685,4232.0495,4508.4721,1653.6294,1245.7111,1164.4917,1156.5699
2014-07-01,2392.163,2232.741,4252.0969,4534.4391,1670.2961,1253.4969,1170.4593,1162.7297
2014-07-02,2393.25,2239.96,4283.6934,4568.061,1685.6527,1262.5908,1178.7233,1171.1488
2014-07-03,2405.812,2249.026,4331.516,4609.323,1704.8493,1269.9815,1183.2578,1177.2496
2014-07-04,2408.35,2253.316,4323.3816,4584.1958,1701.8816,1268.0353,1185.5279,1179.3256
2014-07-07,2405.513,2254.755,4324.754,4601.1569,1695.9433,1267.9568,1192.5406,1183.4137
2014-07-08,2409.328,2260.311,4352.2294,4625.0882,1713.7263,1278.0547,1205.213,1196.0654
2014-07-09,2368.592,2230.494,4292.5061,4555.4522,1686.1782,1255.7849,1188.4807,1180.2856
2014-07-10,2361.4,2228.074,4276.451,4560.2934,1680.6556,1263.8656,1194.4966,1185.8016
2014-07-11,2356.755,2225.687,4314.4669,4607.1633,1685.9007,1272.8514,1204.1111,1194.9949
2014-07-14,2383.098,2247.455,4381.6238,4693.6678,1702.583,1294.3915,1221.2331,1212.3802
2014-07-15,2386.036,2249.104,4379.5255,4707.8884,1682.7506,1293.9541,1211.9245,1208.4117
2014-07-16,2381.563,2255.445,4359.4969,4682.5397,1656.5163,1289.091,1197.8787,1196.2363
2014-07-17,2360.224,2240.925,4329.6435,4644.7222,1650.7855,1286.0658,1195.0965,1191.7273
2014-07-18,2373.973,2249.06,4343.2116,4672.0616,1652.0164,1291.626,1192.6794,1190.1938
2014-07-21,2383.336,2249.936,4332.4665,4643.8636,1650.4504,1290.4965,1190.6946,1189.3497
2014-07-22,2412.172,2275.677,4383.6781,4706.6911,1677.3195,1308.8814,1206.3615,1204.8324
2014-07-23,2414.28,2292.479,4349.4796,4686.0156,1649.0917,1299.1292,1196.3131,1193.2438
2014-07-24,2464.823,2346.798,4352.5881,4726.4496,1632.6125,1297.5111,1187.7766,1189.0075
2014-07-25,2481.996,2367.444,4393.7175,4757.5422,1641.626,1309.2731,1196.3843,1197.3418
2014-07-28,2557.539,2439.421,4463.6004,4859.5989,1672.4903,1328.1504,1214.4208,1214.9744
