kind,rep,scheme,p_maxT,p_minP
stationary,195,full_group,0.098,0.322
stationary,196,restricted,0.706,0.964
stationary,196,full_group,0.702,0.952
stationary,197,restricted,0.914,0.824
stationary,197,full_group,0.946,0.816
stationary,198,restricted,0.302,0.38
stationary,198,full_group,0.336,0.268
stationary,199,restricted,0.808,0.694
stationary,199,full_group,0.736,0.666
stationary,200,restricted,0.092,0.306
stationary,200,full_group,0.098,0.272
stationary,201,restricted,0.256,0.206
stationary,201,full_group,0.284,0.236
stationary,202,restricted,0.406,0.358
stationary,202,full_group,0.412,0.378
stationary,203,restricted,0.896,0.71
stationary,203,full_group,0.89,0.704
stationary,204,restricted,0.172,0.374
stationary,204,full_group,0.192,0.34
stationary,205,restricted,0.404,0.738
stationary,205,full_group,0.424,0.778
stationary,206,restricted,0.544,0.088
stationary,206,full_group,0.518,0.084
stationary,207,restricted,0.33,0.074
stationary,207,full_group,0.282,0.152
stationary,208,restricted,0.77,0.856
stationary,208,full_group,0.794,0.848
stationary,209,restricted,0.196,0.192
stationary,209,full_group,0.162,0.242
stationary,210,restricted,0.466,0.504
stationary,210,full_group,0.51,0.52
stationary,211,restricted,0.62,0.026
stationary,211,full_group,0.628,0.064
stationary,212,restricted,0.944,0.644
stationary,212,full_group,0.934,0.654
stationary,213,restricted,0.288,0.2
stationary,213,full_group,0.308,0.228
stationary,214,restricted,0.882,0.588
stationary,214,full_group,0.864,0.544
stationary,215,restricted,0.814,0.474
stationary,215,full_group,0.822,0.578
stationary,216,restricted,0.86,0.972
stationary,216,full_group,0.794,0.96
stationary,217,restricted,0.068,0.252
stationary,217,full_group,0.078,0.218
stationary,218,restricted,0.008,0.056
stationary,218,full_group,0.004,0.022
stationary,219,restricted,0.23,0.52
stationary,219,full_group,0.254,0.664
stationary,220,restricted,0.706,0.598
stationary,220,full_group,0.654,0.518
stationary,221,restricted,0.852,0.486
stationary,221,full_group,0.86,0.432
stationary,222,restricted,0.19,0.22
stationary,222,full_group,0.236,0.294
stationary,223,restricted,0.11,0.404
stationary,223,full_group,0.122,0.382
stationary,224,restricted,0.062,0.206
stationary,224,full_group,0.076,0.264
stationary,225,restricted,0.312,0.672
stationary,225,full_group,0.316,0.628
stationary,226,restricted,0.686,0.738
stationary,226,full_group,0.706,0.722
stationary,227,restricted,0.912,0.524
stationary,227,full_group,0.912,0.53
stationary,228,restricted,0.42,0.56
stationary,228,full_group,0.454,0.604
stationary,229,restricted,0.132,0.144
stationary,229,full_group,0.166,0.218
stationary,230,restricted,0.516,0.43
stationary,230,full_group,0.574,0.352
stationary,231,restricted,0.89,0.568
stationary,231,full_group,0.892,0.582
stationary,232,restricted,0.818,0.7
stationary,232,full_group,0.822,0.738
stationary,233,restricted,0.326,0.362
stationary,233,full_group,0.378,0.386
stationary,234,restricted,0.24,0.182
stationary,234,full_group,0.25,0.212
stationary,235,restricted,0.73,0.332
stationary,235,full_group,0.752,0.416
stationary,236,restricted,0.628,0.436
stationary,236,full_group,0.606,0.358
stationary,237,restricted,0.264,0.524
stationary,237,full_group,0.25,0.542
stationary,238,restricted,0.682,0.71
stationary,238,full_group,0.644,0.608
stationary,239,restricted,0.056,0.146
stationary,239,full_group,0.04,0.144
stationary,240,restricted,0.416,0.72
stationary,240,full_group,0.368,0.69
stationary,241,restricted,0.436,0.272
stationary,241,full_group,0.442,0.268
stationary,242,restricted,0.078,0.144
stationary,242,full_group,0.074,0.152
stationary,243,restricted,0.172,0.35
stationary,243,full_group,0.124,0.282
stationary,244,restricted,0.796,0.964
stationary,244,full_group,0.738,0.974
stationary,245,restricted,0.534,0.84
stationary,245,full_group,0.49,0.85
stationary,246,restricted,0.058,0.148
stationary,246,full_group,0.066,0.226
stationary,247,restricted,0.636,0.216
stationary,247,full_group,0.644,0.252
stationary,248,restricted,0.892,0.858
stationary,248,full_group,0.922,0.87
stationary,249,restricted,0.346,0.448
stationary,249,full_group,0.342,0.432
stationary,250,restricted,0.672,0.512
stationary,250,full_group,0.662,0.506
stationary,251,restricted,0.308,0.326
stationary,251,full_group,0.314,0.4
stationary,252,restricted,0.522,0.614
stationary,252,full_group,0.542,0.554
stationary,253,restricted,0.704,0.62
stationary,253,full_group,0.674,0.566
stationary,254,restricted,0.024,0.018
stationary,254,full_group,0.014,0.082
stationary,255,restricted,0.926,0.902
stationary,255,full_group,0.906,0.918
stationary,256,restricted,0.76,0.692
stationary,256,full_group,0.77,0.684
stationary,257,restricted,0.86,0.972
stationary,257,full_group,0.874,0.972
stationary,258,restricted,0.23,0.536
stationary,258,full_group,0.262,0.56
stationary,259,restricted,0.072,0.258
stationary,259,full_group,0.086,0.284
stationary,260,restricted,0.51,0.496
stationary,260,full_group,0.49,0.338
stationary,261,restricted,0.688,0.328
stationary,261,full_group,0.67,0.358
stationary,262,restricted,0.944,0.124
stationary,262,full_group,0.914,0.278
stationary,263,restricted,0.16,0.452
stationary,263,full_group,0.172,0.46
stationary,264,restricted,0.112,0.242
