name,grid,family,lookback,z_window,smoothing,regime,sharpe_train,n_train,sharpe_val,n_val,sharpe_reused,n_reused,length,skip,score,old_three_window_score,rank_grid,rank_family
slope_L5s0_zw250_sm0,momentum174,slope,,250,0,old_sym,-0.10898084641415731,1706,0.7277281206766004,727,0.6235619054713195,654,5.0,0.0,-0.10898084641415731,-0.10898084641415731,138,25
slope_L5s0_zw250_sm5,momentum174,slope,,250,5,old_sym,0.5166087716455438,1706,0.07556094382779549,727,0.3575047224697885,654,5.0,0.0,0.07556094382779549,0.07556094382779549,123,19
slope_L10s0_zw40_sm0,momentum174,slope,,40,0,old_sym,0.6005375819151042,1706,0.6581531522118091,727,-0.03174054458048851,654,10.0,0.0,0.6005375819151042,-0.03174054458048851,66,10
slope_L10s0_zw40_sm5,momentum174,slope,,40,5,old_sym,0.7088384422710214,1706,1.0005862529384448,727,0.1996843469509207,654,10.0,0.0,0.7088384422710214,0.1996843469509207,51,7
slope_L10s0_zw120_sm0,momentum174,slope,,120,0,old_sym,0.9727888555760232,1706,0.2619358112389735,727,0.3316951813540445,654,10.0,0.0,0.2619358112389735,0.2619358112389735,106,15
slope_L10s0_zw120_sm5,momentum174,slope,,120,5,old_sym,0.7839462634181522,1706,0.6566515469629766,727,0.4076836789924657,654,10.0,0.0,0.6566515469629766,0.4076836789924657,59,8
slope_L10s0_zw250_sm0,momentum174,slope,,250,0,old_sym,0.78825953897378,1706,0.5473209815129049,727,0.5034345765121596,654,10.0,0.0,0.5473209815129049,0.5034345765121596,75,11
slope_L10s0_zw250_sm5,momentum174,slope,,250,5,old_sym,0.7940841826379732,1706,0.65611948076329,727,-0.039105514449081405,654,10.0,0.0,0.65611948076329,-0.039105514449081405,60,9
slope_L20s0_zw40_sm0,momentum174,slope,,40,0,old_sym,1.243420508049285,1706,1.126677167332617,727,0.9769700309065853,654,20.0,0.0,1.126677167332617,0.9769700309065853,9,5
slope_L20s0_zw40_sm5,momentum174,slope,,40,5,old_sym,1.4596186221262633,1706,1.3829417054283268,727,1.5043352047091973,654,20.0,0.0,1.3829417054283268,1.3829417054283268,2,2
slope_L20s0_zw120_sm0,momentum174,slope,,120,0,old_sym,1.398334357271783,1706,1.8720188545831093,727,1.0971290673689094,654,20.0,0.0,1.398334357271783,1.0971290673689094,1,1
slope_L20s0_zw120_sm5,momentum174,slope,,120,5,old_sym,1.4166096473673577,1706,1.3574936024337507,727,0.45345551360646047,654,20.0,0.0,1.3574936024337507,0.45345551360646047,4,3
slope_L20s0_zw250_sm0,momentum174,slope,,250,0,old_sym,1.0818188320428415,1706,1.2990474808239916,727,1.159889873726475,654,20.0,0.0,1.0818188320428415,1.0818188320428415,12,6
slope_L20s0_zw250_sm5,momentum174,slope,,250,5,old_sym,1.2672376624853103,1706,1.1933101967365296,727,0.75661449764542,654,20.0,0.0,1.1933101967365296,0.75661449764542,6,4
slope_L60s0_zw40_sm0,momentum174,slope,,40,0,old_sym,0.49791418924624314,1706,0.41069384120462515,727,1.1151520863497915,654,60.0,0.0,0.41069384120462515,0.41069384120462515,84,12
slope_L60s0_zw40_sm5,momentum174,slope,,40,5,old_sym,0.3776308154680294,1706,0.6224218476499492,727,0.814636763329607,654,60.0,0.0,0.3776308154680294,0.3776308154680294,88,13
slope_L60s0_zw120_sm0,momentum174,slope,,120,0,old_sym,0.22893641955405034,1706,0.8450014241697809,727,-0.18811116213236423,654,60.0,0.0,0.22893641955405034,-0.18811116213236423,109,16
