ts_code,formation_date,total_shares,mkt_cap_ard,close,implied_shares,relative_error,is_target_coordinate,cdr_unit_ratio,proposed_shares,cross_field_tier,cross_field_evidence
600483.SH,2021-02-26,1760376808,14241448376.72,8.09,1760376808.0,3.0648632473436455e-17,True,1,1760376808,CROSS_FIELD_EXACT,relative_error=3.065e-17
600483.SH,2021-03-31,1785226528,17005239965.28,9.66,1760376808.0,0.013919645272042447,True,1,1785226528,CROSS_FIELD_LAGGED_MKT_CAP,implied matches neighbour 2021-02-26=1760376808
600483.SH,2021-04-30,1785226528,18691321748.16,10.47,1785226527.9999998,6.924174090542138e-17,True,1,1785226528,CROSS_FIELD_EXACT,relative_error=6.924e-17
600483.SH,2021-05-31,1785226528,17852265280.0,10.0,1785226528.0,0.0,True,1,1785226528,CROSS_FIELD_EXACT,relative_error=0.000e+3
600483.SH,2021-06-30,1868775093,18727026278.72,10.49,1785226528.0,0.04470766188663021,True,1,1868775093,CROSS_FIELD_LAGGED_MKT_CAP,implied matches neighbour 2021-05-31=1785226528
600483.SH,2021-07-30,1868904151,21324196362.910004,11.41,1868904151.0000002,1.5928019342584526e-16,True,1,1868904151,CROSS_FIELD_EXACT,relative_error=1.593e-16
600483.SH,2021-08-31,1868904151,25473163578.130005,13.63,1868904151.0000002,1.3434069915762598e-16,True,1,1868904151,CROSS_FIELD_EXACT,relative_error=1.343e-16
600483.SH,2021-09-30,1908392357,34088811714.24,18.24,1868904151.0000002,0.020691869706539464,True,1,1908392357,CROSS_FIELD_LAGGED_MKT_CAP,implied matches neighbour 2021-08-31=1868904151
600483.SH,2021-10-29,1917473110,34150196089.099995,17.81,1917473109.9999998,8.457264208829397e-17,True,1,1917473110,CROSS_FIELD_EXACT,relative_error=8.457e-17
600483.SH,2021-11-30,1917473110,28781271381.099995,15.01,1917473109.9999998,1.7135595331330218e-16,True,1,1917473110,CROSS_FIELD_EXACT,relative_error=1.714e-16
600483.SH,2021-12-31,1954540075,31216462230.8,16.28,1917473109.9999998,0.018964545917535193,True,1,1954540075,CROSS_FIELD_LAGGED_MKT_CAP,implied matches neighbour 2021-11-30=1917473110
600483.SH,2022-01-28,1954540075,25037658360.75,12.81,1954540075.0,3.8827471899459027e-17,True,1,1954540075,CROSS_FIELD_EXACT,relative_error=3.883e-17
600483.SH,2022-02-28,1954540075,26835835229.75,13.73,1954540075.0,3.105066580160671e-17,True,1,1954540075,CROSS_FIELD_EXACT,relative_error=3.105e-17
600483.SH,2022-03-31,1954546692,21675849431.75,11.09,1954540075.0,3.3854397170753057e-06,True,1,1954546692,CROSS_FIELD_EXACT,relative_error=3.385e-6
600483.SH,2022-04-29,1954546692,24705470186.88,12.64,1954546692.0,1.7371022799403315e-18,True,1,1954546692,CROSS_FIELD_EXACT,relative_error=1.737e-18
600483.SH,2022-05-31,1954546692,25936834602.84,13.27,1954546692.0,3.8010084034686783e-17,True,1,1954546692,CROSS_FIELD_EXACT,relative_error=3.801e-17
600483.SH,2022-06-30,1954565789,27500471956.440002,14.07,1954546692.0000002,9.770456490818056e-06,True,1,1954565789,CROSS_FIELD_EXACT,relative_error=9.770e-6
600483.SH,2022-07-29,1954565789,23063876310.2,11.8,1954565789.0,2.7136074673508837e-17,True,1,1954565789,CROSS_FIELD_EXACT,relative_error=2.714e-17
600483.SH,2022-08-31,1954565789,23024784994.42,11.78,1954565789.0,2.523942859816468e-17,True,1,1954565789,CROSS_FIELD_EXACT,relative_error=2.524e-17
600483.SH,2022-09-30,1954566310,20894308284.41,10.69,1954565789.0,2.6655529528866825e-07,True,1,1954566310,CROSS_FIELD_EXACT,relative_error=2.666e-7
600483.SH,2022-10-31,1954566310,20913859517.0,10.7,1954566310.0000002,6.640586315514956e-17,True,1,1954566310,CROSS_FIELD_EXACT,relative_error=6.641e-17
600483.SH,2022-11-30,1954566310,22145236292.3,11.33,1954566310.0,4.07229677089406e-17,True,1,1954566310,CROSS_FIELD_EXACT,relative_error=4.072e-17
600483.SH,2022-12-30,1954566310,20679311559.8,10.58,1954566310.0,4.3609756535188756e-17,True,1,1954566310,CROSS_FIELD_EXACT,relative_error=4.361e-17
600483.SH,2023-01-31,1954569056,24334384747.199997,12.45,1954569055.9999998,6.833758015636984e-17,True,1,1954569056,CROSS_FIELD_EXACT,relative_error=6.834e-17
