ts_code,effective_date,total_shares,par_value,available_date,source,quality_flag,updated_at
002517.SZ,2015-12-31,,,2016-04-29,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
002558.SZ,2016-09-30,,,2016-10-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
002558.SZ,2017-06-30,,,2017-08-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
002581.SZ,2015-09-30,,,2015-10-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
002600.SZ,2015-09-30,,,2015-10-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
002600.SZ,2016-06-30,,,2016-08-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
002600.SZ,2019-09-30,,,2019-10-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
002600.SZ,2019-12-31,,,2020-04-29,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
002600.SZ,2020-09-30,,,2020-10-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
002600.SZ,2020-12-31,,,2021-04-30,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
002600.SZ,2021-06-30,,,2021-08-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
002600.SZ,2021-09-30,,,2021-10-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
002600.SZ,2021-12-31,,,2022-04-30,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
002600.SZ,2023-06-30,,,2023-08-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
002607.SZ,2014-06-30,,,2014-08-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
002607.SZ,2017-06-30,,,2017-08-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
002694.SZ,2014-06-30,,,2014-08-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
600179.SH,2016-09-30,,,2016-10-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
600179.SH,2020-12-31,,,2021-04-20,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
600233.SH,2016-09-30,,,2016-10-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
600233.SH,2019-09-30,,,2019-10-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
600233.SH,2019-12-31,,,2020-04-29,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
600233.SH,2020-03-31,,,2020-04-30,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
600233.SH,2021-09-30,,,2021-10-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
600233.SH,2021-12-31,,,2022-04-30,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
600233.SH,2022-03-31,,,2022-04-30,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
600233.SH,2022-06-30,,,2022-08-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
600233.SH,2022-09-30,,,2022-10-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
600233.SH,2023-03-31,,,2023-04-30,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
600398.SH,2014-03-31,,,2014-04-30,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
600398.SH,2019-09-30,,,2019-10-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
600398.SH,2019-12-31,,,2020-04-29,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
600398.SH,2020-03-31,,,2020-04-30,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
600398.SH,2020-06-30,,,2020-08-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
600398.SH,2020-09-30,,,2020-10-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
600398.SH,2020-12-31,,,2021-04-28,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
600398.SH,2021-03-31,,,2021-04-30,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
600398.SH,2021-06-30,,,2021-08-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
600398.SH,2021-09-30,,,2021-10-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
600398.SH,2021-12-31,,,2022-04-30,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
600398.SH,2022-03-31,,,2022-04-30,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
600398.SH,2022-06-30,,,2022-08-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
600398.SH,2023-03-31,,,2023-04-30,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
600483.SH,2019-09-30,,,2019-10-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
600483.SH,2019-12-31,,,2020-04-29,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
600483.SH,2020-03-31,,,2020-04-30,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
600483.SH,2020-06-30,,,2020-08-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
600483.SH,2020-09-30,,,2020-10-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
600483.SH,2021-03-31,,,2021-04-30,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
600483.SH,2021-06-30,,,2021-08-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
600483.SH,2021-09-30,,,2021-10-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
600483.SH,2021-12-31,,,2022-04-30,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
