ts_code,effective_date,total_shares,par_value,available_date,source,quality_flag
600233.SH,2022-09-30,3440652173,,2022-09-30,wind_total_shares_month_end,
600233.SH,2023-01-31,3441322995,,2023-01-31,wind_total_shares_month_end,
600233.SH,2023-03-31,3441710237,,2023-03-31,wind_total_shares_month_end,
600233.SH,2023-05-31,3442225454,,2023-05-31,wind_total_shares_month_end,
600398.SH,2013-05-31,646604078,,2013-05-31,wind_total_shares_month_end,
600398.SH,2014-03-31,4492757924,,2014-03-31,wind_total_shares_month_end,
600398.SH,2019-04-30,4492788868,,2019-04-30,wind_total_shares_month_end,
600398.SH,2019-05-31,4492796121,,2019-05-31,wind_total_shares_month_end,
600398.SH,2019-06-28,4420004914,,2019-06-28,wind_total_shares_month_end,
600398.SH,2019-07-31,4420006660,,2019-07-31,wind_total_shares_month_end,
600398.SH,2019-09-30,4420010735,,2019-09-30,wind_total_shares_month_end,
600398.SH,2019-12-31,4420012481,,2019-12-31,wind_total_shares_month_end,
600398.SH,2020-03-31,4420015805,,2020-03-31,wind_total_shares_month_end,
600398.SH,2020-06-30,4420016636,,2020-06-30,wind_total_shares_month_end,
600398.SH,2020-08-31,4319588960,,2020-08-31,wind_total_shares_month_end,
600398.SH,2020-09-30,4319589640,,2020-09-30,wind_total_shares_month_end,
600398.SH,2020-12-31,4319592192,,2020-12-31,wind_total_shares_month_end,
600398.SH,2021-03-31,4319593128,,2021-03-31,wind_total_shares_month_end,
600398.SH,2021-06-30,4319599916,,2021-06-30,wind_total_shares_month_end,
600398.SH,2021-09-30,4319602472,,2021-09-30,wind_total_shares_month_end,
600398.SH,2021-12-31,4319602756,,2021-12-31,wind_total_shares_month_end,
600398.SH,2022-03-31,4319605170,,2022-03-31,wind_total_shares_month_end,
600398.SH,2022-06-30,4319605902,,2022-06-30,wind_total_shares_month_end,
600398.SH,2022-09-30,4319607279,,2022-09-30,wind_total_shares_month_end,
600398.SH,2023-03-31,4319607585,,2023-03-31,wind_total_shares_month_end,
600398.SH,2023-10-31,4319772008,,2023-10-31,wind_total_shares_month_end,
600483.SH,2013-05-31,288483712,,2013-05-31,wind_total_shares_month_end,
600483.SH,2014-07-31,1258347323,,2014-07-31,wind_total_shares_month_end,
600483.SH,2016-01-29,1551825574,,2016-01-29,wind_total_shares_month_end,
600483.SH,2019-07-31,1551831096,,2019-07-31,wind_total_shares_month_end,
600483.SH,2019-09-30,1551832157,,2019-09-30,wind_total_shares_month_end,
600483.SH,2019-12-31,1551833806,,2019-12-31,wind_total_shares_month_end,
600483.SH,2020-03-31,1551834745,,2020-03-31,wind_total_shares_month_end,
600483.SH,2020-06-30,1760375824,,2020-06-30,wind_total_shares_month_end,
600483.SH,2020-09-30,1760376808,,2020-09-30,wind_total_shares_month_end,
600483.SH,2021-03-31,1785226528,,2021-03-31,wind_total_shares_month_end,
600483.SH,2021-06-30,1868775093,,2021-06-30,wind_total_shares_month_end,
600483.SH,2021-07-30,1868904151,,2021-07-30,wind_total_shares_month_end,
600483.SH,2021-09-30,1908392357,,2021-09-30,wind_total_shares_month_end,
600483.SH,2021-10-29,1917473110,,2021-10-29,wind_total_shares_month_end,
600483.SH,2021-12-31,1954540075,,2021-12-31,wind_total_shares_month_end,
600483.SH,2022-03-31,1954546692,,2022-03-31,wind_total_shares_month_end,
600483.SH,2022-06-30,1954565789,,2022-06-30,wind_total_shares_month_end,
600483.SH,2022-09-30,1954566310,,2022-09-30,wind_total_shares_month_end,
600483.SH,2023-01-31,1954569056,,2023-01-31,wind_total_shares_month_end,
600483.SH,2023-03-31,1954569186,,2023-03-31,wind_total_shares_month_end,
600483.SH,2023-05-31,1954571408,,2023-05-31,wind_total_shares_month_end,
600483.SH,2023-07-31,2540942830,,2023-07-31,wind_total_shares_month_end,
600483.SH,2023-10-31,2540943727,,2023-10-31,wind_total_shares_month_end,
600566.SH,2013-05-31,138200400,,2013-05-31,wind_total_shares_month_end,
600566.SH,2013-12-31,749024701,,2013-12-31,wind_total_shares_month_end,
600566.SH,2014-02-28,781454701,,2014-02-28,wind_total_shares_month_end,
600566.SH,2016-05-31,809623999,,2016-05-31,wind_total_shares_month_end,
600566.SH,2018-05-31,809734489,,2018-05-31,wind_total_shares_month_end,
600566.SH,2018-07-31,814335561,,2018-07-31,wind_total_shares_month_end,
600566.SH,2018-10-31,814817208,,2018-10-31,wind_total_shares_month_end,
600566.SH,2019-01-31,814817354,,2019-01-31,wind_total_shares_month_end,
600566.SH,2019-04-30,814909009,,2019-04-30,wind_total_shares_month_end,
600566.SH,2019-05-31,814921742,,2019-05-31,wind_total_shares_month_end,
600566.SH,2019-07-31,814921767,,2019-07-31,wind_total_shares_month_end,
600566.SH,2019-09-30,814922124,,2019-09-30,wind_total_shares_month_end,
600566.SH,2019-12-31,814922174,,2019-12-31,wind_total_shares_month_end,
600566.SH,2020-03-31,814925805,,2020-03-31,wind_total_shares_month_end,
600566.SH,2020-04-30,814925844,,2020-04-30,wind_total_shares_month_end,
600566.SH,2020-09-30,814927365,,2020-09-30,wind_total_shares_month_end,
600566.SH,2020-10-30,888257259,,2020-10-30,wind_total_shares_month_end,
600566.SH,2021-04-30,888257887,,2021-04-30,wind_total_shares_month_end,
600566.SH,2021-05-31,888257969,,2021-05-31,wind_total_shares_month_end,
600566.SH,2021-06-30,888258011,,2021-06-30,wind_total_shares_month_end,
600566.SH,2021-09-30,888259075,,2021-09-30,wind_total_shares_month_end,
600566.SH,2021-12-31,888273021,,2021-12-31,wind_total_shares_month_end,
600566.SH,2022-03-31,888276131,,2022-03-31,wind_total_shares_month_end,
600566.SH,2022-05-31,888279075,,2022-05-31,wind_total_shares_month_end,
600566.SH,2022-06-30,888281891,,2022-06-30,wind_total_shares_month_end,
600566.SH,2022-09-30,894361479,,2022-09-30,wind_total_shares_month_end,
600566.SH,2022-10-31,902794486,,2022-10-31,wind_total_shares_month_end,
600566.SH,2022-11-30,921822160,,2022-11-30,wind_total_shares_month_end,
600566.SH,2023-06-30,922418160,,2023-06-30,wind_total_shares_month_end,
