ts_code,effective_date,planned_action,reason,total_shares,available_date,source,old_total_shares,old_par_value,old_available_date,old_source,old_quality_flag,old_updated_at
000620.SZ,2015-04-30,INSERT,no canonical row for this key,1896690420,2015-04-30,wind_total_shares_month_end,,,,,,
000620.SZ,2023-12-29,INSERT,no canonical row for this key,5871815040,2023-12-29,wind_total_shares_month_end,,,,,,
000670.SZ,2013-05-31,INSERT,no canonical row for this key,272209120,2013-05-31,wind_total_shares_month_end,,,,,,
000670.SZ,2014-07-31,INSERT,no canonical row for this key,816627360,2014-07-31,wind_total_shares_month_end,,,,,,
000670.SZ,2023-12-29,INSERT,no canonical row for this key,849287360,2023-12-29,wind_total_shares_month_end,,,,,,
000681.SZ,2013-05-31,INSERT,no canonical row for this key,198750000,2013-05-31,wind_total_shares_month_end,,,,,,
000681.SZ,2014-04-30,INSERT,no canonical row for this key,669986736,2014-04-30,wind_total_shares_month_end,,,,,,
000681.SZ,2015-07-31,INSERT,no canonical row for this key,700577436,2015-07-31,wind_total_shares_month_end,,,,,,
000813.SZ,2013-05-31,INSERT,no canonical row for this key,363456000,2013-05-31,wind_total_shares_month_end,,,,,,
000813.SZ,2013-11-29,INSERT,no canonical row for this key,467495367,2013-11-29,wind_total_shares_month_end,,,,,,
000813.SZ,2016-10-31,INSERT,no canonical row for this key,1342664265,2016-10-31,wind_total_shares_month_end,,,,,,
000813.SZ,2016-12-30,INSERT,no canonical row for this key,1494321200,2016-12-30,wind_total_shares_month_end,,,,,,
000813.SZ,2017-05-31,INSERT,no canonical row for this key,2241481800,2017-05-31,wind_total_shares_month_end,,,,,,
000813.SZ,2022-01-28,INSERT,no canonical row for this key,2234788132,2022-01-28,wind_total_shares_month_end,,,,,,
000813.SZ,2022-02-28,INSERT,no canonical row for this key,2232788132,2022-02-28,wind_total_shares_month_end,,,,,,
000813.SZ,2022-11-30,INSERT,no canonical row for this key,2226394464,2022-11-30,wind_total_shares_month_end,,,,,,
000813.SZ,2023-06-30,UPGRADE_PAR_UNKNOWN,empty par_unknown placeholder,2173480882,2023-06-30,wind_total_shares_month_end,,,2023-08-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
000813.SZ,2023-09-28,INSERT,no canonical row for this key,2164955990,2023-09-28,wind_total_shares_month_end,,,,,,
000820.SZ,2013-05-31,INSERT,no canonical row for this key,287834760,2013-05-31,wind_total_shares_month_end,,,,,,
000820.SZ,2016-10-31,INSERT,no canonical row for this key,637245222,2016-10-31,wind_total_shares_month_end,,,,,,
000863.SZ,2013-05-31,INSERT,no canonical row for this key,738690925,2013-05-31,wind_total_shares_month_end,,,,,,
000863.SZ,2014-11-28,INSERT,no canonical row for this key,928481910,2014-11-28,wind_total_shares_month_end,,,,,,
000863.SZ,2015-06-30,UPGRADE_PAR_UNKNOWN,empty par_unknown placeholder,956481910,2015-06-30,wind_total_shares_month_end,,,2015-08-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
000863.SZ,2016-06-30,UPGRADE_PAR_UNKNOWN,empty par_unknown placeholder,1388789602,2016-06-30,wind_total_shares_month_end,,,2016-08-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
000863.SZ,2016-08-31,INSERT,no canonical row for this key,1382986746,2016-08-31,wind_total_shares_month_end,,,,,,
000863.SZ,2017-08-31,INSERT,no canonical row for this key,1381752594,2017-08-31,wind_total_shares_month_end,,,,,,
000863.SZ,2018-07-31,INSERT,no canonical row for this key,1371271098,2018-07-31,wind_total_shares_month_end,,,,,,
000863.SZ,2020-07-31,INSERT,no canonical row for this key,1225208160,2020-07-31,wind_total_shares_month_end,,,,,,
000863.SZ,2022-05-31,INSERT,no canonical row for this key,1204370460,2022-05-31,wind_total_shares_month_end,,,,,,
000863.SZ,2023-05-31,INSERT,no canonical row for this key,1180699560,2023-05-31,wind_total_shares_month_end,,,,,,
000908.SZ,2013-05-31,INSERT,no canonical row for this key,280000000,2013-05-31,wind_total_shares_month_end,,,,,,
000908.SZ,2014-12-31,UPGRADE_PAR_UNKNOWN,empty par_unknown placeholder,738509772,2014-12-31,wind_total_shares_month_end,,,2015-04-30,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
000908.SZ,2015-03-31,UPGRADE_PAR_UNKNOWN,empty par_unknown placeholder,799794865,2015-03-31,wind_total_shares_month_end,,,2015-04-30,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
