mapping,name,window,n,ann,cagr,sharpe,maxdd,vol,es05,worst_day
symmetric,raw,2021-2023,727,0.24142065160619375,0.2520688297618055,1.3265490417578016,-0.15771379236268823,0.1819915012612642,-0.02450852198817993,-0.052155925327021
symmetric,raw,2024-2026,654,0.2545793915396691,0.2454311480232344,0.9576059208419045,-0.2890650296058547,0.26584985117453,-0.0340216564616024,-0.07370030493493258
symmetric,DEMA5,full,2776,0.3175017227046516,0.32825199526613447,1.2243498568671203,-0.44211725826271575,0.2593227098642201,-0.03578202211997791,-0.08674252635367892
symmetric,DEMA5,dual_listed,1005,0.30465135605060634,0.32002401842911943,1.3094392803603827,-0.2766830357243466,0.2326578716706593,-0.02991439626767735,-0.07370030493493258
symmetric,DEMA5,2015-2020,1395,0.3412688750614025,0.34912121466700774,1.1804273155994145,-0.44211725826271575,0.28910621649593743,-0.041106141448009975,-0.08674252635367892
symmetric,DEMA5,2021-2023,727,0.27984677339545205,0.3011347431917843,1.5399487918407955,-0.1485622193879127,0.1817247267429809,-0.024247398113139054,-0.052155925327021
symmetric,DEMA5,2024-2026,654,0.3086637572767016,0.3146100582587539,1.1614785942976231,-0.2766830357243464,0.26575070672168416,-0.03368506988492102,-0.07370030493493258
symmetric,DEMA7,full,2776,0.3272539865060401,0.3412756172239711,1.2620804360228748,-0.4291413888802871,0.25929725013193117,-0.035782425311708194,-0.08674252635367892
symmetric,DEMA7,dual_listed,1005,0.3250567166991559,0.347243049432854,1.397938902225746,-0.2547809577871364,0.23252569635311876,-0.0299261609735597,-0.07370030493493258
symmetric,DEMA7,2015-2020,1395,0.3384449039473853,0.3453190176012114,1.170337574390932,-0.4291413888802871,0.28918571133078347,-0.041008120168766635,-0.08674252635367892
symmetric,DEMA7,2021-2023,727,0.29073505733615107,0.3153915239689064,1.6008537866052728,-0.13124489432025588,0.18161249938551602,-0.02417230714843619,-0.052155925327021
symmetric,DEMA7,2024-2026,654,0.3439786526770383,0.3618750455004221,1.295333974984416,-0.25478095778713594,0.2655520964631355,-0.03370325170310284,-0.07370030493493258
symmetric,CUSUM,full,2776,0.12536516711405277,0.10838843384042139,0.5932548671078121,-0.37523765924525454,0.21131755349133985,-0.03289720864666776,-0.10434174708645175
symmetric,CUSUM,dual_listed,1005,0.14487279903559427,0.1286310420511211,0.6655098763373618,-0.26629320485429886,0.21768692574917553,-0.033704285996495935,-0.10434174708645175
symmetric,CUSUM,2015-2020,1395,0.17385502188683352,0.16399553233873418,0.8322606884061887,-0.37523765924525454,0.20889491034326346,-0.03420865693747377,-0.08674252635367892
symmetric,CUSUM,2021-2023,727,-0.04217299954573466,-0.05640730667728461,-0.23601320789470762,-0.28795630799388827,0.17868915016209294,-0.023086012715477285,-0.04561629591150074
symmetric,CUSUM,2024-2026,654,0.20817388233368028,0.19414149653646312,0.8433076026075678,-0.26629320485429875,0.24685403249062585,-0.038756968850402695,-0.10434174708645175
symmetric,Hamilton,full,2776,0.24834514665447066,0.23944986319444966,0.9565479289531374,-0.31066936755360075,0.2596264537692992,-0.03687196265385819,-0.08674252635367892
symmetric,Hamilton,dual_listed,1005,0.20527424070289343,0.19511854445629223,0.8812217568799694,-0.28822553482744817,0.23294277416581502,-0.03192266079237482,-0.07370030493493258
symmetric,Hamilton,2015-2020,1395,0.2296816470676865,0.2065663977165626,0.7929557593828631,-0.31066936755360075,0.2896525365380305,-0.04257061389558203,-0.08674252635367892
symmetric,Hamilton,2021-2023,727,0.3121534089487178,0.34390296316888713,1.7198700251791108,-0.1315849851369082,0.18149825532089817,-0.023170888226293845,-0.04561629591150074
symmetric,Hamilton,2024-2026,654,0.21722431368145254,0.19971120398442307,0.816979481464465,-0.2882255348274474,0.2658871105209034,-0.036043478428266044,-0.07370030493493258
