pit_policy,formation_date,scope,input_n,size_excluded_n,model_excluded_n,size_n,model_n,m_orthogonality_error,s_orthogonality_error,h_orthogonality_error,max_orthogonality_error,data_exempt_names,data_exempt_share,data_materiality_threshold,q500,q1000,qblend,unverified_first_disclosure_model_rows,unverified_first_disclosure_dependencies_json
legal_deadline,2017-01-26,exposure,3087,207,632,2880,2455,4.480771607832066e-16,1.5667860092073976e-15,2.3628606833486417e-16,1.5667860092073976e-15,0,0.0,0.0025,-0.6552690903489872,0.2669255171197348,-0.1941717866146262,0,[]
legal_deadline,2017-02-28,exposure,3119,209,665,2910,2454,3.490032864328222e-16,3.883349808147786e-16,2.3711328899049625e-16,3.883349808147786e-16,0,0.0,0.0025,-0.6664092416398044,0.26362907938373226,-0.20139008112803608,0,[]
legal_deadline,2017-03-31,exposure,3167,236,713,2931,2454,6.048218878917641e-16,8.662914806332868e-16,2.1657471062932853e-16,8.662914806332868e-16,0,0.0,0.0025,-0.6600579138734611,0.23376125339579412,-0.2131483302388335,0,[]
legal_deadline,2017-04-28,exposure,3205,253,751,2952,2454,7.6426236694509e-16,6.407276271294306e-16,2.5886328316661713e-16,7.6426236694509e-16,0,0.0,0.0025,-0.6720306923165447,0.2426440932077048,-0.21469329955441993,0,[]
legal_deadline,2017-05-31,exposure,3243,253,789,2990,2454,1.1263282860633449e-15,6.915865115575557e-16,3.825238880634862e-16,1.1263282860633449e-15,0,0.0,0.0025,-0.6406771132535483,0.24672221276911152,-0.19697745024221835,0,[]
legal_deadline,2017-06-30,exposure,3279,247,825,3032,2454,4.75026075150141e-16,7.254605197491345e-16,4.435440532618117e-16,7.254605197491345e-16,0,0.0,0.0025,-0.6966611963867057,0.15022260200511073,-0.27321929719079746,0,[]
legal_deadline,2017-07-31,exposure,3308,223,855,3085,2453,2.368634778099463e-16,8.610988660664094e-16,2.1507616857689955e-16,8.610988660664094e-16,0,0.0,0.0025,-0.6965955633218952,0.12134299864291676,-0.2876262823394892,0,[]
legal_deadline,2017-08-31,exposure,3344,225,890,3119,2454,3.453013809636824e-16,7.410788880002322e-16,2.1042044351322724e-16,7.410788880002322e-16,0,0.0,0.0025,-0.6769261204298702,0.12312310269108753,-0.27690150886939136,0,[]
legal_deadline,2017-09-29,exposure,3381,216,927,3165,2454,6.230188409086116e-16,8.400796647693108e-16,5.105973459695732e-16,8.400796647693108e-16,0,0.0,0.0025,-0.6885572701106963,0.1184873745727894,-0.28503494776895344,0,[]
legal_deadline,2017-10-31,exposure,3408,199,906,3209,2502,3.3428186583711887e-16,7.925981651237983e-16,2.733607911092248e-16,7.925981651237983e-16,0,0.0,0.0025,-0.6946305030596159,0.11355627719570731,-0.29053711293195433,0,[]
legal_deadline,2017-11-30,exposure,3444,198,942,3246,2502,4.372206842101537e-16,3.0624306135698257e-16,3.171304793251547e-16,4.372206842101537e-16,0,0.0,0.0025,-0.7003271280347931,0.11721161815009451,-0.2915577549423493,0,[]
legal_deadline,2017-12-29,exposure,3467,191,966,3276,2501,4.1243089074895195e-16,8.750811403639474e-16,5.375472103314523e-16,8.750811403639474e-16,0,0.0,0.0025,-0.802496673129552,0.04279757999323584,-0.37984954656815806,0,[]
legal_deadline,2018-01-31,exposure,3482,167,981,3315,2501,2.689581778877773e-16,8.869355484244106e-16,2.02020942528724e-16,8.869355484244106e-16,0,0.0,0.0025,-0.7837122350104899,0.008069638629142143,-0.3878212981906739,0,[]
legal_deadline,2018-02-28,exposure,3494,149,993,3345,2501,5.447362475455423e-16,7.518783025178097e-16,5.394411732484734e-16,7.518783025178097e-16,0,0.0,0.0025,-0.7909347990310107,0.00965722252009648,-0.3906387882554571,0,[]
legal_deadline,2018-03-30,exposure,3504,124,1003,3380,2501,6.66665022048328e-16,4.981751620534761e-16,2.5928998257239926e-16,6.66665022048328e-16,0,0.0,0.0025,-0.7872611388706219,0.024022475490179794,-0.38161933169022105,0,[]
legal_deadline,2018-04-27,exposure,3513,110,1005,3403,2508,5.782267530386239e-16,1.064820422654401e-15,3.4306872955771197e-16,1.064820422654401e-15,0,0.0,0.0025,-0.7897177413129379,0.0057423556073240185,-0.39198769285280693,0,[]
legal_deadline,2018-05-31,exposure,3521,75,1012,3446,2509,2.6817548464312926e-16,4.1894277819407745e-16,2.3089805807196234e-16,4.1894277819407745e-16,0,0.0,0.0025,-0.7587494243989739,0.029681330790754634,-0.3645340468041096,0,[]
