date,factor_value
2023-05-08,-0.7076
2023-05-05,-0.6284
2023-05-04,-0.6024
2023-04-28,-0.5241
2023-04-27,-0.4121
2023-04-26,-0.2940
2023-04-25,-0.1803
2023-04-24,0.0338
2023-04-21,0.2266
2023-04-20,0.3657
2023-04-19,0.4302
2023-04-18,0.4436
2023-04-17,0.4592
2023-04-14,0.4260
2023-04-13,0.4072
2023-04-12,0.4327
2023-04-11,0.4471
2023-04-10,0.4278
2023-04-07,0.4293
2023-04-06,0.3969
2023-04-04,0.3325
2023-04-03,0.2614
2023-03-31,0.2018
2023-03-30,0.1020
2023-03-29,-0.0114
2023-03-28,-0.0974
2023-03-27,-0.1335
2023-03-24,-0.2195
2023-03-23,-0.3109
2023-03-22,-0.3858
2023-03-21,-0.4566
2023-03-20,-0.5129
2023-03-17,-0.5631
2023-03-16,-0.5643
2023-03-15,-0.5805
2023-03-14,-0.5914
2023-03-13,-0.6267
2023-03-10,-0.6459
2023-03-09,-0.6989
2023-03-08,-0.7281
2023-03-07,-0.7521
2023-03-06,-0.7595
2023-03-03,-0.7704
2023-03-02,-0.7469
2023-03-01,-0.7199
2023-02-28,-0.6988
2023-02-27,-0.6932
2023-02-24,-0.6552
2023-02-23,-0.5666
2023-02-22,-0.4521
2023-02-21,-0.2984
2023-02-20,-0.1797
2023-02-17,-0.0263
2023-02-16,0.0616
2023-02-15,0.1729
2023-02-14,0.2647
2023-02-13,0.3644
2023-02-10,0.4269
2023-02-09,0.4813
2023-02-08,0.4988
2023-02-07,0.4785
2023-02-06,0.4872
2023-02-03,0.5205
2023-02-02,0.5458
2023-02-01,0.5584
2023-01-31,0.5801
2023-01-30,0.6090
2023-01-20,0.6006
2023-01-19,0.5581
2023-01-18,0.5506
2023-01-17,0.5495
2023-01-16,0.5416
2023-01-13,0.5255
2023-01-12,0.5559
2023-01-11,0.5138
2023-01-10,0.4413
2023-01-09,0.4237
2023-01-06,0.3487
2023-01-05,0.2929
2023-01-04,0.2870
2023-01-03,0.3289
2022-12-30,0.2957
2022-12-29,0.2807
2022-12-28,0.2126
2022-12-27,0.1300
2022-12-26,0.0297
2022-12-23,-0.0844
2022-12-22,-0.1737
2022-12-21,-0.1958
2022-12-20,-0.2517
2022-12-19,-0.3190
2022-12-16,-0.3033
2022-12-15,-0.3157
2022-12-14,-0.3718
2022-12-13,-0.4100
2022-12-12,-0.4583
