ts_code,list_date,first_eff
600694.SH,1993-11-22,2025-04-01
600699.SH,1993-12-06,2025-04-01
600732.SH,1996-08-16,2025-04-01
600733.SH,1996-08-16,2025-04-01
600756.SH,1996-09-23,2025-04-01
600789.SH,1997-02-26,2025-04-01
600810.SH,1994-01-06,2025-04-01
600862.SH,1994-05-20,2025-04-01
600863.SH,1994-05-20,2025-04-01
600875.SH,1995-10-10,2025-04-01
600885.SH,1996-02-05,2025-04-01
600888.SH,1996-02-15,2025-04-01
600889.SH,1996-03-08,2025-04-01
600909.SH,2016-12-06,2025-04-01
600918.SH,2020-06-03,2025-04-01
600926.SH,2016-10-27,2025-04-01
600938.SH,2022-04-21,2025-04-01
600941.SH,2022-01-05,2025-04-01
600956.SH,2020-06-29,2025-04-01
601009.SH,2007-07-19,2025-04-01
601121.SH,2023-03-10,2025-04-01
601127.SH,2016-06-15,2025-04-01
601128.SH,2016-09-30,2025-04-01
601137.SH,2011-01-27,2025-04-01
601162.SH,2018-10-19,2025-04-01
601208.SH,2011-05-20,2025-04-01
601231.SH,2012-02-20,2025-04-01
601328.SH,2007-05-15,2025-04-01
601360.SH,2012-01-16,2017-01-01
601609.SH,2020-04-22,2025-04-01
601619.SH,2017-07-20,2025-04-01
601636.SH,2011-08-12,2025-04-01
601658.SH,2019-12-10,2025-04-01
601665.SH,2021-06-18,2025-04-01
601789.SH,2011-08-16,2025-04-01
601865.SH,2019-02-15,2025-04-01
601868.SH,2021-09-28,2025-04-01
601869.SH,2018-07-20,2025-04-01
601988.SH,2006-07-05,2025-04-01
601990.SH,2018-06-13,2025-04-01
603026.SH,2015-05-29,2025-04-01
603027.SH,2016-03-07,2025-04-01
603031.SH,2016-08-22,2025-04-01
603037.SH,2017-01-20,2025-04-01
603051.SH,2022-03-25,2025-04-01
603052.SH,2022-10-11,2025-04-01
603061.SH,2023-03-03,2025-04-01
603067.SH,2016-09-13,2025-04-01
603079.SH,2017-08-23,2025-04-01
603083.SH,2017-11-10,2025-04-01
603088.SH,2014-11-11,2025-04-01
603089.SH,2017-01-26,2025-04-01
603093.SH,2019-08-30,2025-04-01
603095.SH,2020-04-15,2025-04-01
603112.SH,2020-09-17,2025-04-01
603125.SH,2023-04-10,2025-04-01
603131.SH,2016-06-07,2025-04-01
603165.SH,2017-01-17,2025-04-01
603186.SH,2017-01-03,2025-04-01
603192.SH,2018-08-28,2025-04-01
603195.SH,2020-02-06,2025-04-01
603196.SH,2017-05-31,2025-04-01
603201.SH,2022-07-29,2025-04-01
603209.SH,2022-03-24,2025-04-01
603215.SH,2022-02-18,2025-04-01
603220.SH,2018-11-15,2025-04-01
603225.SH,2017-04-18,2025-04-01
603228.SH,2017-01-06,2025-04-01
603236.SH,2019-07-16,2025-04-01
603268.SH,2015-03-19,2025-04-01
603269.SH,2017-05-17,2025-04-01
603277.SH,2017-09-11,2025-04-01
603283.SH,2017-12-25,2025-04-01
603296.SH,2023-08-08,2025-04-01
603299.SH,2015-12-31,2025-04-01
603305.SH,2017-07-10,2025-04-01
603318.SH,2015-04-24,2025-04-01
603319.SH,2016-11-30,2025-04-01
603321.SH,2017-09-15,2025-04-01
603323.SH,2016-11-29,2025-04-01
603327.SH,2019-05-23,2025-04-01
603329.SH,2017-12-29,2025-04-01
