ts_code,formation_date,required_formation,list_date,delist_date,raw_close,close_source,selected_share_effective_date,selected_share_known_date,selected_total_shares,reason_code
600681.SH,2013-07-31,False,1993-10-18,,3.86,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
600862.SH,2013-07-31,False,1994-05-20,,3.41,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
601360.SH,2013-07-31,False,2012-01-16,,7.64,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
603993.SH,2013-07-31,False,2012-10-09,,7.44,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000035.SZ,2013-08-30,False,1994-04-08,,,SUSPENDED_CARRY_FORWARD,,,,DATA_MISSING_SHARES
000156.SZ,2013-08-30,False,2000-09-06,,27.64,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000301.SZ,2013-08-30,False,2000-05-29,,3.13,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000498.SZ,2013-08-30,False,1997-06-09,,4.45,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000547.SZ,2013-08-30,False,1993-11-30,,,SUSPENDED_CARRY_FORWARD,,,,DATA_MISSING_SHARES
000603.SZ,2013-08-30,False,1996-08-23,,15.13,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000620.SZ,2013-08-30,False,1996-10-29,,4.7,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000670.SZ,2013-08-30,False,1996-12-17,,12.84,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000681.SZ,2013-08-30,False,1997-01-21,,13.28,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000813.SZ,2013-08-30,False,1998-05-19,,8.32,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000820.SZ,2013-08-30,False,1998-06-30,,9.85,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000863.SZ,2013-08-30,False,1997-09-25,,6.6,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000908.SZ,2013-08-30,False,1999-02-03,,,SUSPENDED_CARRY_FORWARD,,,,DATA_MISSING_SHARES
002019.SZ,2013-08-30,False,2004-07-13,,16.37,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002027.SZ,2013-08-30,False,2004-08-04,,4.57,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002127.SZ,2013-08-30,False,2007-04-18,,5.41,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002270.SZ,2013-08-30,False,2008-09-05,,6.15,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002323.SZ,2013-08-30,False,2009-12-18,,13.12,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002343.SZ,2013-08-30,False,2010-01-26,,8.01,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002366.SZ,2013-08-30,False,2010-03-12,,8.67,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002468.SZ,2013-08-30,False,2010-09-08,,6.7,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002517.SZ,2013-08-30,False,2010-12-07,,13.7,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002558.SZ,2013-08-30,False,2011-03-02,,22.92,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002581.SZ,2013-08-30,False,2011-05-20,,11.1,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002600.SZ,2013-08-30,False,2011-07-15,,9.61,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002607.SZ,2013-08-30,False,2011-08-10,,6.46,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002694.SZ,2013-08-30,False,2012-08-16,,11.26,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
600097.SH,2013-08-30,False,1997-06-19,,11.9,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
600179.SH,2013-08-30,False,1998-11-04,,5.25,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
600217.SH,2013-08-30,False,1999-12-16,,4.49,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
600233.SH,2013-08-30,False,2000-06-08,,10.89,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
