开始日期,2010-01-01,,,,
截止日期,当前日期,,,,
收盘价,close,,,,
日期,稳定(风格.中信),成长(风格.中信),金融(风格.中信),周期(风格.中信),消费(风格.中信)
Date,CI005921.WI,CI005920.WI,CI005917.WI,CI005918.WI,CI005919.WI
2010-12-02,1793.3941,3657.6328,3579.7598,3440.31,5050.8944
2010-12-03,1790.1114,3629.4363,3606.6303,3426.088,5019.3438
2010-12-06,1780.8708,3566.5268,3654.8841,3406.6505,4945.7828
2010-12-07,1787.0507,3630.1695,3674.1503,3454.3849,5022.5119
2010-12-08,1780.9725,3626.3262,3612.2568,3439.544,5015.1322
2010-12-09,1771.6617,3570.3994,3551.5563,3379.3184,4909.0947
2010-12-10,1789.4317,3640.7746,3591.0527,3422.8811,4963.2586
2010-12-13,1842.8097,3761.2616,3663.1997,3548.3882,5081.3807
2010-12-14,1856.3597,3807.3452,3654.6333,3575.927,5111.308
2010-12-15,1841.7842,3784.2321,3636.4937,3559.578,5111.5207
2010-12-16,1834.9603,3780.4245,3609.5104,3545.9139,5118.6788
2010-12-17,1837.7331,3788.6927,3597.2044,3555.3914,5115.2413
2010-12-20,1814.444,3760.9774,3535.3559,3513.3791,5031.0935
2010-12-21,1841.0017,3792.8774,3666.9459,3569.9538,5049.5176
2010-12-22,1828.875,3766.9906,3607.7411,3551.3516,4993.0802
2010-12-23,1806.9716,3680.2317,3607.9552,3496.1676,4919.2792
2010-12-24,1787.2947,3594.4666,3628.3467,3434.7226,4855.3574
2010-12-27,1747.534,3484.2345,3554.1885,3360.2311,4727.8816
2010-12-28,1714.9631,3406.1397,3482.5715,3291.5209,4660.5442
2010-12-29,1726.8639,3478.3991,3486.7661,3326.1628,4737.5141
2010-12-30,1721.2128,3503.058,3461.2718,3347.0516,4747.7215
2010-12-31,1750.0643,3596.0701,3505.0938,3434.2575,4844.8557
2011-01-04,1771.988,3648.2315,3592.2525,3502.4056,4888.639
2011-01-05,1775.5902,3645.7701,3564.1736,3512.9518,4858.2193
2011-01-06,1772.9911,3620.5123,3546.8816,3494.9278,4836.7231
2011-01-07,1778.1872,3583.0884,3614.5448,3464.9592,4818.4903
2011-01-10,1754.3945,3487.0288,3544.676,3395.8874,4690.505
2011-01-11,1765.6766,3452.2834,3600.6137,3384.4995,4657.9985
2011-01-12,1775.8177,3466.5423,3643.7807,3400.9484,4670.0268
2011-01-13,1775.2059,3466.451,3620.9977,3399.8368,4700.3667
2011-01-14,1758.1941,3368.7835,3577.2396,3326.1581,4648.2088
2011-01-17,1704.2986,3224.4516,3428.7183,3197.6026,4468.2693
2011-01-18,1704.9373,3228.0766,3432.4335,3199.0602,4504.1021
2011-01-19,1745.3568,3315.7736,3478.9466,3294.2376,4590.2428
2011-01-20,1707.245,3176.7088,3375.0091,3183.0957,4440.0235
2011-01-21,1748.2977,3195.5163,3437.8045,3219.8645,4431.2978
2011-01-24,1750.8134,3116.8463,3415.3161,3157.3818,4335.8005
2011-01-25,1732.6249,3065.5844,3423.8128,3110.6871,4297.102
2011-01-26,1761.3437,3126.6083,3447.6121,3167.7153,4356.7577
2011-01-27,1791.9468,3195.5692,3457.4876,3242.4766,4419.8721
2011-01-28,1799.5039,3228.2927,3437.9184,3276.3214,4463.7053
2011-01-31,1830.3689,3276.1329,3451.3397,3336.6797,4515.251
2011-02-01,1818.6511,3292.9472,3464.5426,3337.2477,4521.0562
2011-02-09,1814.1034,3283.7457,3418.8955,3299.4888,4499.3779
2011-02-10,1829.9174,3369.8609,3477.8403,3382.1997,4646.2317
2011-02-11,1840.4574,3392.6417,3498.7392,3407.7756,4687.8578
2011-02-14,1879.5879,3464.1076,3639.144,3487.0934,4763.0797
2011-02-15,1879.5635,3475.5955,3617.0419,3496.6815,4758.8779
2011-02-16,1892.8222,3540.3304,3621.2671,3570.1351,4801.7531
2011-02-17,1891.289,3571.8693,3611.8613,3591.9945,4788.6318
2011-02-18,1872.0213,3525.6958,3597.1117,3546.1259,4754.3314
2011-02-21,1897.2161,3611.9918,3623.9384,3614.2122,4844.0074
2011-02-22,1843.7615,3526.3964,3507.1907,3510.2083,4734.3788
2011-02-23,1850.9075,3569.0216,3515.3615,3543.57,4773.5129
2011-02-24,1861.6279,3581.517,3540.5958,3568.2602,4798.8855
2011-02-25,1862.5291,3588.1918,3551.7699,3562.2184,4802.7882
2011-02-28,1884.9989,3630.5671,3577.9296,3620.341,4870.4961
2011-03-01,1889.364,3639.9005,3615.689,3622.4005,4899.3171
2011-03-02,1875.9878,3603.5629,3624.5631,3609.2809,4901.1358
2011-03-03,1861.2365,3539.0154,3652.9238,3547.0958,4812.8127
2011-03-04,1880.6269,3580.5847,3711.1437,3600.3789,4859.0477
2011-03-07,1904.6713,3624.9269,3760.6708,3687.7461,4901.1204
2011-03-08,1909.0089,3648.9804,3764.2137,3697.1853,4916.161
2011-03-09,1911.4376,3656.2283,3768.5437,3708.3188,4918.8243
2011-03-10,1885.5476,3622.968,3689.2824,3647.9815,4920.4927
2011-03-11,1870.1028,3614.8155,3643.8599,3630.613,4907.2354
2011-03-14,1880.2895,3637.8142,3649.9379,3655.8179,4962.2368
2011-03-15,1853.6936,3591.5717,3586.4252,3605.9598,4884.9172
2011-03-16,1871.5261,3657.2099,3624.3959,3661.3735,4933.772
2011-03-17,1857.1854,3565.4805,3561.8534,3604.3247,4851.5282
2011-03-18,1862.9658,3586.0943,3587.3875,3632.3131,4867.1787
2011-03-21,1852.2841,3555.6243,3595.3508,3618.6582,4824.3746
2011-03-22,1856.4656,3548.4672,3633.4708,3624.5221,4813.2585
2011-03-23,1878.7415,3591.3063,3684.5317,3671.2493,4864.5923
2011-03-24,1873.4726,3590.9136,3669.2448,3667.6401,4862.5355
2011-03-25,1891.8211,3606.5841,3728.9926,3711.9,4885.9049
2011-03-28,1895.3835,3580.0601,3740.8312,3718.5085,4837.7705
2011-03-29,1880.4407,3512.3064,3753.422,3649.4486,4746.4489
2011-03-30,1873.8633,3495.9282,3731.5707,3634.9434,4718.9164
2011-03-31,1849.8084,3473.8316,3689.1262,3584.4424,4690.9475
2011-04-01,1868.8824,3499.1772,3784.1244,3637.1063,4724.7777
2011-04-06,1888.0893,3491.0413,3880.0114,3647.2348,4701.7455
2011-04-07,1896.2263,3501.3655,3874.4415,3674.5815,4731.4449
2011-04-08,1913.3096,3544.3702,3882.566,3726.5113,4787.7229
2011-04-11,1911.1586,3509.6011,3839.803,3713.9039,4762.6963
2011-04-12,1935.1627,3488.5838,3829.0737,3707.0056,4763.3781
2011-04-13,1950.1773,3525.0158,3914.3348,3733.2578,4830.0775
2011-04-14,1942.4724,3512.373,3896.5388,3720.7636,4826.7143
2011-04-15,1944.1914,3500.5238,3943.7453,3720.0223,4809.3299
2011-04-18,1945.9085,3492.3999,3951.9897,3735.431,4814.2549
2011-04-19,1916.6326,3439.177,3860.0041,3679.2801,4789.0777
2011-04-20,1931.0818,3469.7504,3835.0487,3682.7864,4841.6633
2011-04-21,1942.3894,3488.7812,3856.8464,3718.4061,4852.3573
2011-04-22,1944.861,3464.4793,3825.2404,3700.9886,4835.5191
2011-04-25,1910.6799,3377.726,3791.4875,3606.5632,4802.6567
2011-04-26,1886.4068,3328.5197,3785.4219,3552.1167,4735.1494
2011-04-27,1884.8135,3279.1898,3762.1515,3512.8065,4696.7796
2011-04-28,1844.6302,3176.4237,3747.2944,3419.4443,4567.5813
2011-04-29,1887.1935,3228.6426,3737.4334,3479.0387,4627.5429
2011-05-03,1909.7727,3273.7263,3746.3528,3513.2717,4695.725
2011-05-04,1884.0443,3205.1442,3650.994,3409.8223,4627.6659
2011-05-05,1877.2868,3214.8164,3658.4228,3400.0702,4667.1548
2011-05-06,1891.5691,3252.9774,3637.439,3390.6126,4702.3049
2011-05-09,1902.438,3285.0393,3631.1209,3419.2398,4718.328
2011-05-10,1917.3785,3303.7583,3665.7901,3451.1441,4726.7178
2011-05-11,1913.5996,3303.921,3653.4365,3449.1383,4733.513
2011-05-12,1898.1941,3240.8603,3618.814,3381.9255,4698.249
2011-05-13,1903.4721,3270.9188,3666.4137,3413.9608,4718.7602
2011-05-16,1889.5593,3269.5617,3636.4014,3393.1162,4708.5909
2011-05-17,1878.5273,3250.4177,3655.5735,3401.2035,4698.6202
2011-05-18,1887.3397,3266.5585,3689.5686,3417.1487,4743.4044
2011-05-19,1869.8302,3247.9083,3666.6372,3398.4305,4737.5057
2011-05-20,1861.8248,3239.2168,3675.2069,3392.3575,4733.1593
2011-05-23,1798.907,3125.9013,3560.7216,3268.9638,4570.5949
2011-05-24,1800.4083,3140.9854,3557.528,3271.5314,4554.5183
2011-05-25,1774.7901,3094.4473,3509.612,3238.8225,4509.3953
2011-05-26,1761.9749,3063.2419,3518.3884,3212.2266,4471.309
2011-05-27,1732.9559,2991.3019,3513.7497,3152.4693,4370.0197
2011-05-30,1727.7213,2948.2218,3499.5433,3109.6244,4344.826
2011-05-31,1753.295,3007.8811,3540.4055,3186.1273,4415.5676
2011-06-01,1759.9508,3040.4963,3521.2556,3211.4774,4456.65
2011-06-02,1734.686,3004.2819,3423.5962,3179.9048,4396.6198
2011-06-03,1757.1868,3055.874,3454.9572,3223.8872,4468.7189
2011-06-07,1764.7938,3090.4154,3468.0408,3255.8713,4502.5259
2011-06-08,1770.8527,3099.6867,3468.3651,3270.9956,4520.9111
2011-06-09,1736.2044,3039.4904,3408.2332,3201.0845,4432.3113
2011-06-10,1740.9063,3040.7164,3431.2561,3207.9368,4442.1013
2011-06-13,1734.222,3043.4414,3418.1271,3213.7774,4410.9564
2011-06-14,1757.5858,3080.6379,3470.0581,3264.5704,4459.7824
2011-06-15,1747.8839,3050.652,3430.8778,3236.9726,4420.7535
2011-06-16,1713.0814,2984.9064,3389.4035,3173.0098,4338.0672
2011-06-17,1700.5224,2931.0386,3371.2756,3129.2151,4292.6653
2011-06-20,1687.5802,2882.7683,3375.364,3099.6076,4234.8723
2011-06-21,1702.254,2905.5991,3411.0859,3149.4527,4285.9943
2011-06-22,1695.6556,2901.1981,3407.6459,3143.3408,4299.4473
2011-06-23,1721.5212,2962.6634,3459.9419,3204.3954,4371.5233
2011-06-24,1758.9502,3041.7074,3569.1952,3277.885,4459.944
2011-06-27,1763.2105,3090.9586,3564.8841,3313.0874,4494.2051
2011-06-28,1768.9188,3102.9467,3559.2166,3319.5583,4512.1447
2011-06-29,1751.8435,3065.6949,3503.2754,3277.6694,4467.8636
2011-06-30,1773.305,3112.4385,3556.3336,3330.0084,4521.4285
2011-07-01,1773.2414,3122.3355,3555.8272,3349.7019,4545.7779
2011-07-04,1807.0123,3200.3452,3640.4669,3436.2274,4635.7502
2011-07-05,1810.5886,3220.7759,3635.3449,3455.6545,4653.3237
2011-07-06,1816.1443,3243.5076,3608.5595,3456.6123,4664.8605
2011-07-07,1803.933,3244.5022,3597.5188,3444.7485,4685.5811
2011-07-08,1803.0656,3236.3342,3621.7252,3447.919,4681.3226
2011-07-11,1814.1872,3264.216,3603.8404,3465.3004,4733.9932
