phase,n_sessions,kind,delta,method,rep,data_seed,p_C1,p_C2,estimate_C1,estimate_C2,reject_any,reject_C2,positive_C1
A,2016,iid,0.0,group_t8,260,91719260,0.021087496959815558,0.5242381544861098,-0.4191709241310039,0.15081435345439903,True,False,False
A,2016,iid,0.0,sn_if,260,91719260,0.06375872482550349,0.6850262994740105,-0.41535199324160726,0.13341780092198732,False,False,False
A,2016,iid,0.0,group_t4,261,91719261,1.0,1.0,0.12302316016860193,-0.33502207862744426,False,False,False
A,2016,iid,0.0,group_t8,261,91719261,0.6400050038552538,0.6400050038552538,0.12983167784136568,-0.3349726936977986,False,False,False
A,2016,iid,0.0,sn_if,261,91719261,1.0,1.0,0.12891436214780416,-0.3360960627616575,False,False,False
A,2016,iid,0.0,group_t4,262,91719262,1.0,1.0,-0.03151653031301711,-0.2028816127413404,False,False,False
A,2016,iid,0.0,group_t8,262,91719262,1.0,1.0,-0.03200690896715486,-0.21233040547641027,False,False,False
A,2016,iid,0.0,sn_if,262,91719262,1.0,1.0,-0.039216668494540544,-0.20001002427734918,False,False,False
A,2016,iid,0.0,group_t4,263,91719263,0.8798401838069839,0.38867850386408664,0.04704036211993229,0.26386200504736107,False,False,False
A,2016,iid,0.0,group_t8,263,91719263,0.7927189082585984,0.6015125310791409,0.05653519400895628,0.27115611780576565,False,False,False
A,2016,iid,0.0,sn_if,263,91719263,0.8217435651286974,0.44143117137657245,0.058546013107124074,0.2615380545491551,False,False,False
A,2016,iid,0.0,group_t4,264,91719264,0.9829245192341506,0.8280816151347574,-0.003745719480601123,-0.14065517583431042,False,False,False
A,2016,iid,0.0,group_t8,264,91719264,0.9723630747429954,0.9344054963476999,0.007602380954234808,-0.1406714902712727,False,False,False
A,2016,iid,0.0,sn_if,264,91719264,0.9275814483710326,0.6181076378472431,-0.008938819548014744,-0.14913505448627873,False,False,False
A,2016,iid,0.0,group_t4,265,91719265,0.7814249745852014,0.2116013465761596,0.09945081087917412,-0.2783805620420842,False,False,False
A,2016,iid,0.0,group_t8,265,91719265,0.6874458367972819,0.23309759837017097,0.10168703424753994,-0.28361161623072995,False,False,False
A,2016,iid,0.0,sn_if,265,91719265,0.8381232375352493,0.5153896922061558,0.08159797954725614,-0.28151610116839537,False,False,False
A,2016,iid,0.0,group_t4,266,91719266,0.3249654830012683,0.10813415605078057,-0.2504605301704198,-0.6286732594224407,False,False,False
A,2016,iid,0.0,group_t8,266,91719266,0.3325618576879246,0.017011806448186097,-0.2521438908481556,-0.6334566964506516,True,True,False
A,2016,iid,0.0,sn_if,266,91719266,0.3119337613247735,0.02247955040899182,-0.24904154893658187,-0.6264380019114244,True,True,False
A,2016,iid,0.0,group_t4,267,91719267,0.22944024998405427,0.21682185051789443,-0.3735467197482189,-0.33481331239414414,False,False,False
A,2016,iid,0.0,group_t8,267,91719267,0.10733949410759183,0.07008110907771486,-0.3787275499808373,-0.33352545274751744,False,False,False
A,2016,iid,0.0,sn_if,267,91719267,0.1381172376552469,0.09675806483870322,-0.36276123098393154,-0.3336083253712162,False,False,False
A,2016,iid,0.0,group_t4,268,91719268,0.15249713450840016,0.15249713450840016,-0.5507049273196014,0.2557656576113112,False,False,False
A,2016,iid,0.0,group_t8,268,91719268,0.017490498173242813,0.09813800562281273,-0.557494572624759,0.24785932995145707,True,False,False
A,2016,iid,0.0,sn_if,268,91719268,0.007599848003039939,0.08057838843223135,-0.544218533614321,0.26703032712492913,True,False,False
A,2016,iid,0.0,group_t4,269,91719269,0.7393582768268047,0.07294295190925212,-0.06329129244483359,-0.2978830809231812,False,False,False
A,2016,iid,0.0,group_t8,269,91719269,0.8456700581788315,0.536756388677613,-0.055810732486666445,-0.3198446617395057,False,False,False
A,2016,iid,0.0,sn_if,269,91719269,0.8128837423251535,0.2246355072898542,-0.04769457828967705,-0.2894847658398849,False,False,False
A,2016,iid,0.0,group_t4,270,91719270,0.018056155079429797,0.6258481971255746,0.2258062235934657,-0.14607497036337996,True,False,True
A,2016,iid,0.0,group_t8,270,91719270,0.20735372294824875,0.554864579359788,0.23106292309459317,-0.14832908523625676,False,False,False
A,2016,iid,0.0,sn_if,270,91719270,0.124917501649967,0.4842903141937161,0.21759444937004496,-0.13940867132451654,False,False,False
A,2016,iid,0.0,group_t4,271,91719271,0.3490840835753088,0.34329474808084776,0.22019755074926728,0.25742733866229145,False,False,False
A,2016,iid,0.0,group_t8,271,91719271,0.24850247197809214,0.24850247197809214,0.21357667101384517,0.2530459205972122,False,False,False
A,2016,iid,0.0,sn_if,271,91719271,0.4143117137657247,0.25771484570308595,0.21985327573966063,0.2550397707823446,False,False,False
A,2016,iid,0.0,group_t4,272,91719272,1.0,1.0,-0.0022559162919893183,-0.030447743463219684,False,False,False
A,2016,iid,0.0,group_t8,272,91719272,1.0,1.0,-0.0011578483658104544,-0.045537031766283154,False,False,False
A,2016,iid,0.0,sn_if,272,91719272,1.0,1.0,-0.0006208171169611587,-0.037131716657672564,False,False,False
A,2016,iid,0.0,group_t4,273,91719273,0.853174075165374,0.853174075165374,0.07264858015346276,0.19877745612831924,False,False,False
A,2016,iid,0.0,group_t8,273,91719273,0.6677558733194465,0.6619684742338517,0.08324122814162155,0.18461037847812925,False,False,False
A,2016,iid,0.0,sn_if,273,91719273,0.7636847263054739,0.6753064938701226,0.07177480812718234,0.20750853989035234,False,False,False
A,2016,iid,0.0,group_t4,274,91719274,0.860606166613958,0.2597172037916467,0.04227503029462,-0.3453799626062539,False,False,False
A,2016,iid,0.0,group_t8,274,91719274,0.7887525485569312,0.1115841163602322,0.0564329662761307,-0.35110346169115336,False,False,False
A,2016,iid,0.0,sn_if,274,91719274,0.8983020339593208,0.0382792344153117,0.03816999889715461,-0.35225308367269204,True,True,False
A,2016,iid,0.0,group_t4,275,91719275,0.5132024307817233,0.5132024307817233,-0.2355673797813318,0.314536904091013,False,False,False
A,2016,iid,0.0,group_t8,275,91719275,0.27004041664833933,0.23659495318558613,-0.2367335008761387,0.3318450496892058,False,False,False
A,2016,iid,0.0,sn_if,275,91719275,0.39003219935601285,0.39003219935601285,-0.23878571198984821,0.31373752771449565,False,False,False
A,2016,iid,0.0,group_t4,276,91719276,0.958012980466521,0.6185967911986533,0.01914116747233735,-0.3138109033857496,False,False,False
A,2016,iid,0.0,group_t8,276,91719276,0.9439269113614088,0.3525586145351215,0.02217582190510431,-0.3366181311787083,False,False,False
A,2016,iid,0.0,sn_if,276,91719276,0.9719205615887683,0.4373112537749245,0.016591584746298405,-0.3226037473104567,False,False,False
A,2016,iid,0.0,group_t4,277,91719277,0.984403664413788,0.984403664413788,0.1634013267129114,0.10154517519702944,False,False,False
A,2016,iid,0.0,group_t8,277,91719277,0.8953032875832402,0.8953032875832402,0.15514360813522057,0.14479135062140785,False,False,False
A,2016,iid,0.0,sn_if,277,91719277,0.879262414751705,0.879262414751705,0.15944895936799813,0.10524170209536454,False,False,False
A,2016,iid,0.0,group_t4,278,91719278,0.9214910300947973,0.03387766032041649,0.027953795115388896,0.4468557050420917,True,True,False
A,2016,iid,0.0,group_t8,278,91719278,0.8723513168510061,0.2644100437743237,0.03873043672269129,0.44731223732949177,False,False,False
A,2016,iid,0.0,sn_if,278,91719278,0.8946821063578728,0.01979960400791984,0.027359646390227033,0.46547330767032913,True,True,False
A,2016,iid,0.0,group_t4,279,91719279,0.5830750533840446,0.8624574393650496,0.21293758117816744,-0.04757561909394331,False,False,False
A,2016,iid,0.0,group_t8,279,91719279,0.3427220929982866,0.8637832699008333,0.2255615374821668,-0.04541406161684021,False,False,False
A,2016,iid,0.0,sn_if,279,91719279,0.4138317233655327,0.9272014559708806,0.2099174893043847,-0.034864893468512806,False,False,False
A,2016,iid,0.0,group_t4,280,91719280,0.6849096004209324,0.6849096004209324,-0.3390127924001002,0.07249084533328815,False,False,False
A,2016,iid,0.0,group_t8,280,91719280,0.5539951939612351,0.5539951939612351,-0.3371229997695191,0.08592150449753416,False,False,False
A,2016,iid,0.0,sn_if,280,91719280,0.2608747825043499,0.5193296134077319,-0.3478861807832622,0.07583685712186183,False,False,False
A,2016,iid,0.0,group_t4,281,91719281,0.8339945618549031,0.8339945618549031,0.11132131061939371,0.1450192506567298,False,False,False
A,2016,iid,0.0,group_t8,281,91719281,1.0,1.0,0.11707679706858519,0.14495499375737037,False,False,False
A,2016,iid,0.0,sn_if,281,91719281,0.750704985900282,0.750704985900282,0.09195060599938573,0.14586525395258987,False,False,False
A,2016,iid,0.0,group_t4,282,91719282,0.1574676886633124,0.1574676886633124,0.36414090783135533,0.4189098122100116,False,False,False
A,2016,iid,0.0,group_t8,282,91719282,0.0814471831947356,0.0814471831947356,0.38195704569955724,0.4224475903187454,False,False,False
A,2016,iid,0.0,sn_if,282,91719282,0.127477450450991,0.04487910241795164,0.3740671884491004,0.42250118557436145,True,True,False
A,2016,iid,0.0,group_t4,283,91719283,0.8366257185686592,0.872151300185397,-0.06862192004462775,-0.03265099264641201,False,False,False
A,2016,iid,0.0,group_t8,283,91719283,1.0,1.0,-0.08035546104904909,-0.037870311664848125,False,False,False
A,2016,iid,0.0,sn_if,283,91719283,1.0,1.0,-0.06858865054037455,-0.03516564517826734,False,False,False
A,2016,iid,0.0,group_t4,284,91719284,0.49770230759797796,0.3024259682155096,-0.1426176656065465,0.3148170334009666,False,False,False
