date,symbol,open,close,oi,settle,volume
2017-03-31,IC1709.CFE,6170.0000,6180.0000,4799,6177.6000,546
2017-04-05,IC1704.CFE,6418.0000,6538.6000,20948,6532.2000,11851
2017-04-05,IC1705.CFE,6447.0000,6495.8000,2473,6491.4000,1007
2017-04-05,IC1706.CFE,6341.2000,6447.6000,9787,6449.8000,1806
2017-04-05,IC1709.CFE,6240.0000,6328.0000,4903,6333.0000,620
2017-04-06,IC1704.CFE,6547.0000,6536.0000,20231,6533.8000,8650
2017-04-06,IC1705.CFE,6501.0000,6482.4000,2572,6485.2000,843
2017-04-06,IC1706.CFE,6466.0000,6444.6000,9527,6445.0000,910
2017-04-06,IC1709.CFE,6351.8000,6329.2000,4966,6328.0000,489
2017-04-07,IC1704.CFE,6528.8000,6556.0000,20074,6557.4000,8807
2017-04-07,IC1705.CFE,6473.0000,6498.0000,2744,6502.0000,772
2017-04-07,IC1706.CFE,6437.6000,6450.6000,9642,6459.2000,909
2017-04-07,IC1709.CFE,6329.2000,6336.8000,4962,6337.2000,423
2017-04-10,IC1704.CFE,6551.2000,6546.0000,19710,6548.0000,7268
2017-04-10,IC1705.CFE,6497.4000,6489.0000,3096,6490.8000,1014
2017-04-10,IC1706.CFE,6448.0000,6437.0000,9585,6445.6000,972
2017-04-10,IC1709.CFE,6336.8000,6320.0000,4925,6324.2000,353
2017-04-11,IC1704.CFE,6549.0000,6602.2000,20222,6589.4000,11275
2017-04-11,IC1705.CFE,6485.0000,6541.4000,3652,6529.2000,1554
2017-04-11,IC1706.CFE,6448.2000,6492.4000,9615,6474.4000,1338
2017-04-11,IC1709.CFE,6321.8000,6383.6000,5007,6367.4000,518
2017-04-12,IC1704.CFE,6608.8000,6555.8000,19170,6571.0000,9866
2017-04-12,IC1705.CFE,6547.0000,6503.4000,3906,6520.0000,1115
2017-04-12,IC1706.CFE,6492.4000,6456.4000,9522,6470.6000,1029
2017-04-12,IC1709.CFE,6388.0000,6351.2000,4960,6359.0000,435
2017-04-13,IC1704.CFE,6550.2000,6610.0000,18790,6604.6000,9324
2017-04-13,IC1705.CFE,6497.8000,6557.0000,4377,6553.0000,1336
2017-04-13,IC1706.CFE,6437.8000,6504.4000,9605,6502.0000,928
2017-04-13,IC1709.CFE,6351.8000,6401.2000,4976,6402.0000,365
2017-04-14,IC1704.CFE,6605.0000,6518.8000,18249,6521.2000,11205
2017-04-14,IC1705.CFE,6557.0000,6464.0000,5211,6466.0000,2245
2017-04-14,IC1706.CFE,6506.4000,6409.2000,9698,6417.2000,1385
2017-04-14,IC1709.CFE,6404.4000,6305.0000,5005,6311.6000,465
2017-04-17,IC1704.CFE,6505.2000,6443.2000,16512,6442.2000,11107
2017-04-17,IC1705.CFE,6464.0000,6399.0000,6859,6394.0000,3097
2017-04-17,IC1706.CFE,6406.2000,6344.8000,9803,6344.8000,1293
2017-04-17,IC1709.CFE,6290.0000,6234.0000,5140,6233.0000,530
2017-04-18,IC1704.CFE,6455.0000,6422.2000,13950,6439.6000,9838
2017-04-18,IC1705.CFE,6401.0000,6377.6000,8682,6395.4000,3903
2017-04-18,IC1706.CFE,6348.0000,6330.4000,9931,6344.8000,1328
2017-04-18,IC1709.CFE,6234.2000,6211.4000,5107,6228.2000,541
2017-04-19,IC1704.CFE,6400.0000,6346.6000,10694,6345.8000,11663
2017-04-19,IC1705.CFE,6361.2000,6311.0000,11610,6307.4000,6927
2017-04-19,IC1706.CFE,6311.2000,6256.0000,10143,6262.4000,1849
2017-04-19,IC1709.CFE,6209.8000,6156.6000,5223,6162.0000,639
2017-04-20,IC1704.CFE,6350.2000,6347.8000,5141,6337.8000,7678
2017-04-20,IC1705.CFE,6317.2000,6312.2000,15883,6306.8000,8791
2017-04-20,IC1706.CFE,6267.8000,6278.8000,10197,6272.4000,1746
2017-04-20,IC1709.CFE,6167.4000,6190.0000,5221,6179.0000,546
2017-04-21,IC1704.CFE,6347.8000,6315.2000,0,6315.4400,3975
2017-04-21,IC1705.CFE,6316.8000,6260.2000,18425,6264.0000,11332
2017-04-21,IC1706.CFE,6299.8000,6218.0000,10333,6222.0000,1856
2017-04-21,IC1709.CFE,6190.0000,6130.4000,5339,6135.8000,482
2017-04-24,IC1705.CFE,6244.8000,6108.4000,19903,6143.4000,11588
2017-04-24,IC1706.CFE,6200.2000,6075.8000,10411,6113.0000,2125
2017-04-24,IC1709.CFE,6120.0000,5990.0000,5321,6020.2000,951
2017-04-24,IC1712.CFE,6039.6000,5927.8000,271,5943.4000,273
2017-04-25,IC1705.CFE,6129.2000,6128.0000,19441,6134.0000,10751
2017-04-25,IC1706.CFE,6080.0000,6093.6000,10443,6099.2000,1430
2017-04-25,IC1709.CFE,6011.0000,6013.4000,5136,6014.2000,669
2017-04-25,IC1712.CFE,5940.0000,5933.4000,358,5935.0000,254
2017-04-26,IC1705.CFE,6128.0000,6142.0000,19013,6152.4000,9484
2017-04-26,IC1706.CFE,6098.2000,6111.8000,10349,6122.0000,1412
2017-04-26,IC1709.CFE,6020.2000,6034.8000,5104,6043.0000,497
2017-04-26,IC1712.CFE,5944.8000,5964.2000,506,5965.2000,265
2017-04-27,IC1705.CFE,6129.0000,6160.0000,19930,6164.6000,13148
2017-04-27,IC1706.CFE,6105.0000,6126.2000,10703,6130.6000,1997
2017-04-27,IC1709.CFE,6023.0000,6060.0000,5238,6062.8000,655
2017-04-27,IC1712.CFE,5942.4000,5989.0000,678,5990.6000,316
2017-04-28,IC1705.CFE,6155.0000,6180.4000,18526,6171.2000,9521
2017-04-28,IC1706.CFE,6122.4000,6140.0000,10340,6136.2000,1164
2017-04-28,IC1709.CFE,6055.6000,6075.0000,5192,6065.8000,473
2017-04-28,IC1712.CFE,5996.0000,6000.2000,890,5993.8000,360
2017-05-02,IC1705.CFE,6180.0000,6176.0000,18059,6167.6000,7378
2017-05-02,IC1706.CFE,6140.0000,6135.6000,10295,6127.6000,1295
2017-05-02,IC1709.CFE,6063.6000,6054.8000,5135,6043.6000,436
2017-05-02,IC1712.CFE,6000.0000,5974.6000,960,5969.0000,280
2017-05-03,IC1705.CFE,6175.0000,6156.2000,18310,6157.8000,8925
2017-05-03,IC1706.CFE,6141.0000,6116.0000,10473,6117.4000,1240
2017-05-03,IC1709.CFE,6051.2000,6025.4000,5266,6022.6000,550
2017-05-03,IC1712.CFE,5980.0000,5945.4000,1016,5944.6000,154
2017-05-04,IC1705.CFE,6147.8000,6123.6000,18626,6147.0000,11114
2017-05-04,IC1706.CFE,6098.0000,6083.8000,10669,6101.2000,1524
2017-05-04,IC1709.CFE,6012.0000,5991.0000,5312,6004.8000,598
2017-05-04,IC1712.CFE,5939.8000,5923.0000,1040,5937.8000,187
2017-05-05,IC1705.CFE,6113.8000,6057.8000,18682,6079.2000,11746
2017-05-05,IC1706.CFE,6072.8000,6015.0000,10697,6041.6000,2201
2017-05-05,IC1709.CFE,5983.0000,5910.6000,5440,5934.4000,802
2017-05-05,IC1712.CFE,5905.8000,5866.4000,1213,5874.2000,352
2017-05-08,IC1705.CFE,6050.2000,5951.2000,19009,5990.4000,11810
2017-05-08,IC1706.CFE,6013.8000,5908.0000,10843,5955.6000,2359
2017-05-08,IC1709.CFE,5912.0000,5805.0000,5501,5853.4000,728
2017-05-08,IC1712.CFE,5852.6000,5737.8000,1323,5778.6000,417
2017-05-09,IC1705.CFE,5950.0000,5987.0000,18201,5976.6000,13017
2017-05-09,IC1706.CFE,5908.0000,5938.4000,11299,5935.0000,2542
2017-05-09,IC1709.CFE,5813.2000,5839.2000,5614,5825.6000,719
2017-05-09,IC1712.CFE,5739.6000,5764.4000,1440,5753.2000,350
2017-05-10,IC1705.CFE,5993.2000,5842.2000,17895,5887.2000,13186
2017-05-10,IC1706.CFE,5937.6000,5791.0000,11587,5836.4000,2885
2017-05-10,IC1709.CFE,5841.0000,5688.0000,5660,5730.8000,751
